Species	Strain	Source_ID	Temp
Corynebacterium xerosis	Laughton 2	NCTC 8481	37
Salmonella enterica subsp. enterica serotype emek	Col Sal 1023/51 (JT 272)	NCTC 8485	37
Salmonella enterica subsp. enterica serotype bispebjerg	8486 9447 (K 25, JT 25) 1, 4, 12:a:e, n, x	NCTC 8486	37
Yersinia pseudotuberculosis	1627/51	NCTC 8487	37
Salmonella enterica subsp. enterica serotype stockholm	8488 K 187/51 3, 10:y:z6	NCTC 8488	37
Pasteurella multocida	412	NCTC 8489	37
Salmonella enterica subsp. enterica serotype mgulani	8492 JT 274 (CN 4096) 38:i:1, 2	NCTC 8492	37
Salmonella enterica subsp. enterica serotype uzaramo	8493 JT 276 6, 14, 25:z4, z24	NCTC 8493	37
Salmonella enterica subsp. enterica serotype lindi	JT 277	NCTC 8494	37
Salmonella enterica subsp. enterica serotype matopeni	JT 275	NCTC 8495	37
Salmonella enterica subsp. enterica serotype thompson	F 1109 (JT 155)	NCTC 8496	37
Salmonella enterica subsp. enterica serotype rubislaw	JT 285	NCTC 8497	37
Salmonella enterica subsp. enterica serotype illinois	8498 Minn 2954 (3), (15), 34:z10:1, 5	NCTC 8498	37
Salmonella enterica subsp. enterica serotype worthington	Illinois 61 (JT 279)	NCTC 8499	37
Escherichia coli	30 beta	NCTC 8500	37
Haemophilus aegyptius	180-a	NCTC 8502	37
Clostridium perfringens	R2 E?	NCTC 8503	37
Clostridium perfringens	151 E?	NCTC 8504	37
Pseudomonas aeruginosa	Scudder	NCTC 8505	37
Pseudomonas aeruginosa	C III	NCTC 8506	37
Staphylococcus aureus	PS52 (144)	NCTC 8507	37
Staphylococcus aureus	PS31/44/211A/A	NCTC 8508	37
Staphylococcus aureus	PS6 (3)	NCTC 8509	37
Staphylococcus aureus	PS7 (4)	NCTC 8510	37
Staphylococcus aureus	PS53 (48/3292)	NCTC 8511	37
Micrococcus luteus	Hucker 426	NCTC 8512	37
Salmonella enterica subsp. enterica serotype enteritidis	8515 2014 9, 12:g, m:-	NCTC 8515	37
Shigella flexneri	109/49	NCTC 8516	37
Shigella flexneri	265/51	NCTC 8517	37
Shigella flexneri	69/50	NCTC 8518	37
Shigella flexneri	4/52	NCTC 8519	37
Shigella flexneri	275/52	NCTC 8520	37
Shigella flexneri	DRL 36/52103 B	NCTC 8521	37
Shigella flexneri	46/51103 Z	NCTC 8522	37
Shigella flexneri	DRL 245/51119 X	NCTC 8523	37
Shigella flexneri	DRL 192/51119 X	NCTC 8524	37
Shigella flexneri	DRL 79/52	NCTC 8525	37
Shigella flexneri	DRL 94/52	NCTC 8526	37
Shigella flexneri	12/50	NCTC 8527	37
Actinobacillus equuli	PM 30/53 (D108)	NCTC 8529	37
Staphylococcus aureus	S11	NCTC 8530	37
Staphylococcus aureus	S 80	NCTC 8531	37
Staphylococcus aureus	S33 R4	NCTC 8532	37
Clostridium perfringens	CN 1990 E?	NCTC 8533	37
Hafnia alvei	alpha 3915	NCTC 8535	37
Streptococcus sp.	Cuthell (S 32)	NCTC 8539	37
Haemophilus haemoglobinophilus	Greyhound	NCTC 8540	37
Streptococcus agalactiae	19	NCTC 8541	37
Streptococcus agalactiae	356 3737/48	NCTC 8542	37
Streptococcus dysgalactiae subsp. equisimilis	655 Chestle	NCTC 8543	37
Brevundimonas diminuta	RH 342	NCTC 8545	37
Streptococcus dysgalactiae subsp. equisimilis	Austin	NCTC 8546	37
Streptococcus dysgalactiae	566 (14620/49)	NCTC 8547	37
Salmonella enterica subsp. enterica serotype westhampton	CDC 1314-52	NCTC 8549	37
Clostridium botulinum	PR 15	NCTC 8550	37
Mycobacterium avium	Pig P/5	NCTC 8551	37
Mycobacterium avium	Sheep 0/132	NCTC 8553	28
Neisseria meningitidis	1628	NCTC 8554	37
Neisseria meningitidis	2104	NCTC 8555	37
Neisseria meningitidis	60	NCTC 8556	37
Neisseria meningitidis	158	NCTC 8557	37
Mycobacterium avium	Chicken AHT 1	NCTC 8559	37
Bacteroides fragilis	WPMH 1	NCTC 8560	37
Moraxella bovis	H 36	NCTC 8561	37
Mycobacterium avium	Chicken A2	NCTC 8562	37
Vibrio metschnikovii	Berlin	NCTC 8563	37
Vibrio metschnikovii	Tokyo	NCTC 8564	37
Pasteurella multocida	Turkey	NCTC 8565	37
Neisseria meningitidis	C 109	NCTC 8566	37
Neisseria meningitidis	C 115 (LI)	NCTC 8568	37
Neisseria meningitidis	C 107	NCTC 8569	37
Neisseria meningitidis	C 108 (LI)	NCTC 8570	37
Shigella dysenteriae	K 624 Rough strain	NCTC 8571	37
Salmonella enterica subsp. enterica serotype fresno	CDC 2332-53 (CN 4102, JT 325)	NCTC 8572	37
Mycobacterium fortuitum	Malta	NCTC 8573	37
Shigella sonnei	1132	NCTC 8574	37
Shigella sonnei	1010	NCTC 8575	37
Shigella boydii	25/54	NCTC 8576	37
Mycobacterium avium subsp. paratuberculosis	JC 31	NCTC 8578	37
Yersinia pseudotuberculosis	25	NCTC 8579	37
Yersinia pseudotuberculosis	32	NCTC 8580	37
Citrobacter freundii	Flal	NCTC 8581	37
Achromobacter denitrificans	H 12	NCTC 8582	37
Shigella sp.	6275-52	NCTC 8584	37
Shigella sonnei	4848-53	NCTC 8586	37
Shigella sp.	3615-53	NCTC 8587	37
Shigella sp.	3616-53	NCTC 8588	37
Shigella sp.	3617-3	NCTC 8589	37
Shigella boydii	3620-53	NCTC 8590	37
Shigella boydii	3621-53	NCTC 8591	37
Shigella boydii	5032-53	NCTC 8592	37
Shigella boydii	5033-53	NCTC 8593	37
Clostridium sporogenes	NCA 36790	NCTC 8594	37
Nocardia cyriacigeorgica	Greece-Salonika	NCTC 8595	37
Clostridium chauvoei	Ch 64	NCTC 8596	37
Shigella flexneri	21/50	NCTC 8597	37
Shigella flexneri	34/53	NCTC 8598	37
Shigella dysenteriae	Vandepitte	NCTC 8599	37
Escherichia coli	Aberdeen beta	NCTC 8603	37
Yersinia pseudotuberculosis	Watson II	NCTC 8604	30
Bordetella pertussis	18234	NCTC 8605	37
Streptococcus salivarius	S 20 B	NCTC 8606	37
Corynebacterium diphtheriae	125	NCTC 8607	37
Corynebacterium diphtheriae	1269	NCTC 8608	37
Corynebacterium diphtheriae	127	NCTC 8609	37
Corynebacterium diphtheriae	129	NCTC 8611	37
Corynebacterium diphtheriae	162	NCTC 8613	37
Corynebacterium diphtheriae	167	NCTC 8614	37
Bordetella pertussis	18482	NCTC 8616	37
Streptococcus salivarius subsp. salivarius	275	NCTC 8618	37
Escherichia coli	E 893	NCTC 8620	37
Escherichia coli	E 990	NCTC 8621	37
Escherichia coli	E 611	NCTC 8622	37
Escherichia coli	Canioni	NCTC 8623	37
Corynebacterium pseudodiphtheriticum	4570/5 T	NCTC 8633	37
Corynebacterium pseudodiphtheriticum	4808	NCTC 8634	37
Corynebacterium ulcerans	FA 380	NCTC 8638	37
Corynebacterium ulcerans	LIV N 104	NCTC 8639	37
Corynebacterium ulcerans	CAR 11210	NCTC 8640	37
Actinobacillus equuli	117:51	NCTC 8644	37
Corynebacterium ulcerans	13608 Harries	NCTC 8660	37
Janthinobacterium lividum	MG 2. 1	NCTC 8661	22
Corynebacterium ulcerans	740/50 (Klara Mersland)	NCTC 8665	37
Corynebacterium ulcerans	1634/50 (Agnethe Tonnesland)	NCTC 8666	37
Corynebacterium ulcerans	1613/51 (Eva Tellesen)	NCTC 8667	37
Neisseria gonorrhoeae	Bradford 956	NCTC 8676	37
Clostridium perfringens	FH 167/51 + ?	NCTC 8678	37
Corynebacterium diphtheriae	9941	NCTC 8682	37
Chromobacterium violaceum	Lewitus	NCTC 8683	37
Chromobacterium violaceum	Shannon	NCTC 8684	37
Chromobacterium violaceum	RT Rettger 4/22	NCTC 8685	37
Mycobacterium fortuitum	52/3219 (Frank Gibson)	NCTC 8697	37
Acinetobacter haemolyticus	A 1	NCTC 8698	37
Salmonella enterica subsp. enterica serotype ndolo	8700 K 275 9, 12:d:1, 5	NCTC 8700	37
Salmonella enterica subsp. enterica serotype kinshasa	8701 K 309 3, 15:1, z13:1, 5	NCTC 8701	37
Salmonella enterica subsp. enterica serotype salford	8702 K 315 16:l, v:e, n, x	NCTC 8702	37
Salmonella enterica subsp. enterica serotype elisabethville	8703 K 294 3, 10:r:1, 7	NCTC 8703	37
Salmonella enterica subsp. enterica serotype telhashomer	8704 K 313 11:z10:e, n, x	NCTC 8704	37
Salmonella enterica subsp. enterica	8705 K 282 3, 10:r:e, n, z15	NCTC 8705	37
Serratia plymuthica	82 B	NCTC 8706	37
Burkholderia pseudomallei	Bendler A	NCTC 8707	37
Burkholderia pseudomallei	Bendler B	NCTC 8708	37
Streptococcus pyogenes	T 6 Glossy	NCTC 8709	37
Mycobacterium microti	LV 285/303	NCTC 8710	37
Mycobacterium microti	LV 4045/26	NCTC 8712	37
Salmonella enterica subsp. enterica serotype wien	K 320	NCTC 8713	37
Salmonella enterica subsp. enterica serotype praha	K 277	NCTC 8714	37
Salmonella enterica subsp. enterica serotype caracas	K 266	NCTC 8715	37
Salmonella enterica subsp. enterica serotype nessziona	8717 K 317 6, 7:l, z13:1, 5	NCTC 8717	37
Salmonella enterica subsp. enterica serotype banana	8718 K 321 (CN 4934) 4, 5, 12:m, t:-	NCTC 8718	37
Salmonella enterica subsp. enterica serotype wagenia	K 328	NCTC 8719	37
Bacillus licheniformis	Florey A5	NCTC 8720	37
Bacillus licheniformis	P. DArcy Hart	NCTC 8721	37
Staphylococcus aureus	10667	NCTC 8722	37
Staphylococcus aureus	7163 S	NCTC 8723	37
Staphylococcus aureus	7163 R Serotype 11	NCTC 8724	37
Staphylococcus aureus	1636	NCTC 8725	37
Staphylococcus aureus	2411	NCTC 8726	37
Enterococcus faecalis		NCTC 8727	37
Enterococcus faecalis		NCTC 8729	37
Enterococcus faecalis		NCTC 8730	37
Enterococcus faecalis		NCTC 8731	37
Enterococcus faecalis		NCTC 8732	37
Enterococcus avium		NCTC 8733	37
Enterococcus faecalis		NCTC 8734	37
Enterococcus faecalis		NCTC 8735	37
Enterococcus gallinarum		NCTC 8736	37
Streptococcus sp.		NCTC 8737	37
Streptococcus lutetiensis		NCTC 8738	37
Streptococcus lutetiensis		NCTC 8739	37
Enterococcus faecium		NCTC 8740	37
Enterococcus gallinarum		NCTC 8741	37
Enterococcus faecium		NCTC 8742	37
Enterococcus faecium		NCTC 8743	37
Enterococcus faecalis		NCTC 8744	37
Enterococcus faecalis		NCTC 8745	37
Streptococcus lutetiensis		NCTC 8746	37
Streptococcus sp.		NCTC 8747	37
Enterococcus raffinosus		NCTC 8748	37
Streptococcus sp.		NCTC 8749	37
Bordetella bronchiseptica	21190 (A28)	NCTC 8750	37
Bordetella bronchiseptica	21196 (A29)	NCTC 8751	37
Bordetella bronchiseptica	24541 (A32)	NCTC 8761	37
Bordetella bronchiseptica	24790 (A33)	NCTC 8762	37
Alcaligenes faecalis	46703	NCTC 8764	37
Staphylococcus aureus	21	NCTC 8765	37
Staphylococcus aureus	23	NCTC 8766	37
Pseudomonas alcaligenes	15104	NCTC 8769	37
Pasteurella multocida	21429	NCTC 8771	37
Yersinia pestis	139 L	NCTC 8775	30
Yersinia pestis	TS	NCTC 8779	30
Clostridium bifermentans	Prevot 11	NCTC 8780	37
Escherichia coli	9661	NCTC 8781	37
Escherichia coli	E 1805 (24637)	NCTC 8783	37
Salmonella enterica subsp. enterica serotype ibadan	JT 326	NCTC 8785	37
Actinobacillus equuli	B	NCTC 8794	37
Actinobacillus equuli	C	NCTC 8795	37
Streptococcus lutetiensis		NCTC 8796	37
Clostridium perfringens	FH 263/52	NCTC 8798	37
Klebsiella edwardsii var. edwardsii	Z 9969	NCTC 8839	37
Raoultella ornithinolytica	Bradford 6	NCTC 8846	37
Klebsiella pneumoniae subsp. ozaenae	Ipswich 932	NCTC 8883	37
Providencia rettgeri	Belfast 21032	NCTC 8893	37
Klebsiella pneumoniae subsp. ozaenae	Ipswich 1867	NCTC 8895	37
Serratia marcescens	Belfast 31041	NCTC 8900	37
Escherichia coli	1064	NCTC 8959	37
Escherichia coli	F 41 (Hall)	NCTC 8960	37
Escherichia coli	17380 (J. Gardner)	NCTC 8984	37
Escherichia coli	CF 1	NCTC 8985	37
Escherichia coli	CF 1	NCTC 8986	37
Actinobacillus equuli	D209	NCTC 8987	37
Escherichia coli	9001 U 5/41	NCTC 9001	37
Escherichia coli	U 9/41	NCTC 9002	37
Escherichia coli	U 14/41	NCTC 9003	37
Escherichia coli	U 4/41	NCTC 9004	37
Escherichia coli	U 1/41	NCTC 9005	37
Escherichia coli	Bi 7458/41	NCTC 9006	37
Escherichia coli	Bi 7509/41	NCTC 9007	37
Escherichia coli	G 3404/41	NCTC 9008	37
Escherichia coli	Bi 316/42	NCTC 9009	37
Escherichia coli	Bi 8337/41	NCTC 9010	37
Escherichia coli	Bi 623/42	NCTC 9011	37
Escherichia coli	Bi 626/42	NCTC 9012	37
Escherichia coli	Su 4321/41	NCTC 9013	37
Escherichia coli	Su 4411/41	NCTC 9014	37
Escherichia coli	F 7902/41	NCTC 9015	37
Escherichia coli	F 11119/41	NCTC 9016	37
Escherichia coli	K 12a	NCTC 9017	37
Escherichia coli	F 10018/41	NCTC 9018	37
Escherichia coli	F 8188/41	NCTC 9019	37
Escherichia coli	P 7a	NCTC 9020	37
Escherichia coli	E 19a	NCTC 9021	37
Escherichia coli	E 14a	NCTC 9022	37
Escherichia coli	E 39a	NCTC 9023	37
Escherichia coli	E 41a p	NCTC 9024	37
Escherichia coli	H 311 G	NCTC 9026	37
Escherichia coli	F 9884/41	NCTC 9027	37
Escherichia coli	K 1a	NCTC 9028	37
Escherichia coli	Su 4338/41	NCTC 9029	37
Escherichia coli	P 2a	NCTC 9030	37
Escherichia coli	H 30	NCTC 9031	37
Escherichia coli	P 6a	NCTC 9032	37
Escherichia coli	E 40	NCTC 9033	37
Escherichia coli	H 304	NCTC 9034	37
Escherichia coli	E 77a	NCTC 9035	37
Escherichia coli	H 502a	NCTC 9036	37
Escherichia coli	H 510c	NCTC 9037	37
Escherichia coli	H 7	NCTC 9039	37
Escherichia coli	H 316	NCTC 9040	37
Escherichia coli	H 710c	NCTC 9041	37
Escherichia coli	P 11a	NCTC 9042	37
Escherichia coli	Bi 7455/41	NCTC 9043	37
Escherichia coli	H 720c	NCTC 9044	37
Escherichia coli	H 61	NCTC 9045	37
Escherichia coli	P 1c	NCTC 9046	37
Escherichia coli	F 8858/41	NCTC 9047	37
Escherichia coli	U 8/41	NCTC 9048	37
Escherichia coli	U 12/41	NCTC 9049	37
Escherichia coli	U 18/41	NCTC 9050	37
Escherichia coli	U 19/41	NCTC 9051	37
Escherichia coli	U 20/41	NCTC 9052	37
Escherichia coli	Bi 7327/41	NCTC 9053	37
Escherichia coli	Su 3912/41	NCTC 9055	37
Escherichia coli	Su 3684/41	NCTC 9056	37
Escherichia coli	F 8198/41	NCTC 9057	37
Escherichia coli	F 8962/41	NCTC 9058	37
Escherichia coli	F 9095/41	NCTC 9059	37
Escherichia coli	F 10167a/41	NCTC 9060	37
Escherichia coli	F 1067b/41	NCTC 9061	37
Escherichia coli	F 10524/41	NCTC 9062	37
Escherichia coli	F 10598/41	NCTC 9063	37
Escherichia coli	K 6b	NCTC 9064	37
Escherichia coli	K 11a	NCTC 9065	37
Escherichia coli	P 1a	NCTC 9066	37
Citrobacter braakii	P 6b	NCTC 9067	37
Escherichia coli	P 7d	NCTC 9068	37
Escherichia coli	P 9b	NCTC 9069	37
Escherichia coli	P 9c	NCTC 9070	37
Escherichia coli	P 10a	NCTC 9071	37
Escherichia coli	P 11c	NCTC 9072	37
Escherichia coli	P 12a	NCTC 9073	37
Escherichia coli	E 3a	NCTC 9074	37
Escherichia coli	E 5d	NCTC 9076	37
Escherichia coli	E 10	NCTC 9077	37
Escherichia coli	E 38	NCTC 9078	37
Escherichia coli	E 49	NCTC 9079	37
Escherichia coli	E 71	NCTC 9080	37
Escherichia coli	H 5	NCTC 9081	37
Escherichia coli	H 14	NCTC 9082	37
Escherichia coli	H 17a	NCTC 9083	37
Escherichia coli	H 19	NCTC 9084	37
Escherichia coli	H 23	NCTC 9085	37
Escherichia coli	H 35	NCTC 9086	37
Escherichia coli	H 40	NCTC 9087	37
Escherichia coli	H 35	NCTC 9088	37
Escherichia coli	H 68	NCTC 9089	37
Escherichia coli	H 77	NCTC 9090	37
Escherichia coli	H 307b	NCTC 9091	37
Escherichia coli	H 308a	NCTC 9092	37
Escherichia coli	H 308b	NCTC 9093	37
Citrobacter gillenii	H 310a	NCTC 9094	37
Escherichia coli	H 311a	NCTC 9095	37
Escherichia coli	H 319	NCTC 9096	37
Escherichia coli	H 320a	NCTC 9097	37
Escherichia coli	H 501d	NCTC 9098	37
Escherichia coli	H 504c	NCTC 9099	37
Escherichia coli	H 509a	NCTC 9100	37
Escherichia coli	H 510a	NCTC 9101	37
Escherichia coli	H 511	NCTC 9102	37
Escherichia coli	H 515b	NCTC 9103	37
Escherichia coli	H 519	NCTC 9104	37
Escherichia coli	H 521a	NCTC 9106	37
Escherichia coli	H 705	NCTC 9107	37
Escherichia coli	H 708b	NCTC 9108	37
Escherichia coli	H 709c	NCTC 9109	37
Escherichia coli	H 711c	NCTC 9110	37
Escherichia coli	Stoke W	NCTC 9111	37
Escherichia coli	1411-50	NCTC 9112	37
Escherichia coli	6182-50	NCTC 9113	37
Escherichia coli	w 26	NCTC 9114	37
Escherichia coli	w 28	NCTC 9116	37
Escherichia coli	w 30	NCTC 9117	37
Escherichia coli	w 31	NCTC 9118	37
Escherichia coli	w 34	NCTC 9119	37
Escherichia coli	w 35	NCTC 9120	37
Escherichia coli	w 39	NCTC 9121	37
Escherichia coli	w 43	NCTC 9123	37
Streptococcus sp.	Wicky	NCTC 9124	37
Salmonella enterica subsp. enterica serotype livingstone	9125 Col Sal 545/51 (JT 300) 6, 7:d:l, w	NCTC 9125	37
Klebsiella pneumoniae	Strain 99 (NCTC 4140)	NCTC 9127	37
Klebsiella sp.	Kleb 1015	NCTC 9128	37
Klebsiella sp.	Kleb 56	NCTC 9129	37
Klebsiella pneumoniae	Kleb 919	NCTC 9130	37
Klebsiella pneumoniae sensu stricto	Kleb 390	NCTC 9131	37
Klebsiella pneumoniae	Kleb 313	NCTC 9132	37
Klebsiella pneumoniae	Kleb 1470	NCTC 9133	37
Klebsiella pneumoniae	Kleb 1193	NCTC 9134	37
Klebsiella pneumoniae sensu stricto	Mich 61	NCTC 9135	37
Klebsiella sp.	1702/49	NCTC 9141	37
Klebsiella pneumoniae	1996/49	NCTC 9142	37
Klebsiella pneumoniae	2813/50	NCTC 9143	37
Klebsiella pneumoniae	1680/49	NCTC 9144	37
Klebsiella pneumoniae	2002/49	NCTC 9145	37
Klebsiella oxytoca	5884	NCTC 9146	37
Klebsiella sp.	6613	NCTC 9147	37
Klebsiella pneumoniae	5758	NCTC 9148	37
Klebsiella oxytoca	5725	NCTC 9149	37
Klebsiella pneumoniae	7824	NCTC 9150	37
Klebsiella pneumoniae	6258	NCTC 9151	37
Raoultella ornithinolytica	6837	NCTC 9152	37
Klebsiella pneumoniae	6168	NCTC 9153	37
Klebsiella pneumoniae	7522	NCTC 9154	37
Raoultella ornithinolytica	7444	NCTC 9155	37
Klebsiella pneumoniae	8306	NCTC 9156	37
Klebsiella pneumoniae sensu stricto	8238	NCTC 9157	37
Klebsiella pneumoniae	8414	NCTC 9158	37
Klebsiella pneumoniae	7749	NCTC 9159	37
Klebsiella sp.	8588	NCTC 9160	37
Klebsiella pneumoniae	6177	NCTC 9161	37
Klebsiella pneumoniae	1702	NCTC 9162	37
Klebsiella pneumoniae	2482	NCTC 9163	37
Klebsiella sp.	7730	NCTC 9164	37
Klebsiella pneumoniae	8464	NCTC 9165	37
Klebsiella pneumoniae	5281	NCTC 9166	37
Klebsiella pneumoniae	9682	NCTC 9167	37
Klebsiella sp.	1196	NCTC 9168	37
Klebsiella pneumoniae	6115	NCTC 9169	37
Klebsiella pneumoniae	1303/50	NCTC 9170	37
Klebsiella pneumoniae	4715/50	NCTC 9171	37
Klebsiella pneumoniae sensu stricto	5759/50	NCTC 9172	37
Klebsiella pneumoniae	1756/51	NCTC 9173	37
Klebsiella pneumoniae	Stanley	NCTC 9174	37
Klebsiella pneumoniae	3985/51	NCTC 9175	37
Klebsiella pneumoniae	3534/51	NCTC 9176	37
Klebsiella pneumoniae	4425/51	NCTC 9177	37
Klebsiella pneumoniae	636/52	NCTC 9178	37
Raoultella planticola	2212/52	NCTC 9179	37
Klebsiella pneumoniae	4463/52	NCTC 9180	37
Klebsiella pneumoniae	5710-52	NCTC 9181	37
Klebsiella pneumoniae	5711-52	NCTC 9182	37
Klebsiella pneumoniae sensu stricto	5845-52	NCTC 9183	37
Klebsiella pneumoniae	64	NCTC 9184	37
Raoultella terrigena	SW 4	NCTC 9185	37
Klebsiella oxytoca	438	NCTC 9186	37
Klebsiella sp.	264	NCTC 9187	37
Klebsiella sp.	265	NCTC 9188	37
Klebsiella sp.	Type 69	NCTC 9189	37
Cronobacter sakazakii	Challoner P 11	NCTC 9238	37
Brevundimonas vancanneytii	L 184	NCTC 9239	37
Salmonella enterica subsp. enterica serotype gallinarum	129	NCTC 9240	37
Staphylococcus aureus	PS31 B (R15)	NCTC 9301	37
Staphylococcus aureus	PS52B (48/1365)	NCTC 9303	37
Staphylococcus aureus	PS57 (49/475)	NCTC 9305	37
Staphylococcus aureus	PS75 A (H/365)	NCTC 9307	37
Staphylococcus aureus	PS75B (H/6100)	NCTC 9309	37
Staphylococcus aureus	PS47D (R/365)	NCTC 9311	37
Staphylococcus aureus	PS78 (H/376)	NCTC 9313	37
Staphylococcus aureus	PS71 (H/114 A)	NCTC 9315	37
Staphylococcus aureus	PSX2	NCTC 9317	37
Staphylococcus aureus	PS58	NCTC 9318	37
Salmonella enterica subsp. enterica serotype paratyphi a	9322 A27 2, 12:a:-	NCTC 9322	37
Salmonella sp.	Java Rough	NCTC 9323	37
Salmonella enterica subsp. enterica serotype typhimurium	Binns Rough	NCTC 9324	37
Salmonella enterica subsp. enterica serotype paratyphi c	9325 Baghdad 782 6, 7, Vi:c:1, 5	NCTC 9325	37
Shigella boydii	170	NCTC 9327	37
Shigella boydii	14D	NCTC 9328	37
Shigella boydii	Nil-2-C	NCTC 9329	37
Shigella boydii	PSH-125	NCTC 9330	37
Shigella boydii	426-FA	NCTC 9331	37
Shigella boydii	m 279	NCTC 9332	37
Shigella boydii	Heller 6917	NCTC 9333	37
Prevotella nigrescens	Sharpe	NCTC 9336	37
Prevotella melaninogenica	Trott	NCTC 9337	37
Prevotella melaninogenica	Craig	NCTC 9338	37
Bacteroides fragilis	Onslow	NCTC 9343	37
Bacteroides fragilis	Fotheringham	NCTC 9344	37
Shigella dysenteriae	599-52	NCTC 9345	37
Shigella dysenteriae	2116-52	NCTC 9346	37
Shigella dysenteriae	1646	NCTC 9347	37
Shigella dysenteriae	3307-53	NCTC 9348	37
Shigella dysenteriae	3873-53	NCTC 9349	37
Shigella dysenteriae	4388-50	NCTC 9350	37
Shigella dysenteriae	2050-52	NCTC 9351	37
Shigella dysenteriae	2000-53	NCTC 9352	37
Shigella boydii	1643	NCTC 9353	37
Shigella boydii	1880	NCTC 9354	37
Shigella boydii	72	NCTC 9355	37
Shigella boydii	901	NCTC 9356	37
Shigella boydii	430	NCTC 9357	37
Shigella boydii	6336-52	NCTC 9358	37
Shigella boydii	34	NCTC 9359	37
Shigella boydii	1624-54	NCTC 9360	37
Shigella boydii	425	NCTC 9361	37
Shigella boydii	2045-54	NCTC 9362	37
Shigella boydii	604-52	NCTC 9363	37
Shigella sp.	792	NCTC 9364	37
Shigella boydii	703	NCTC 9365	37
Shigella sp.	2710-54 (11-12)	NCTC 9366	37
Shigella sp.	2043-54 (7-36)	NCTC 9367	37
Shigella sp.	2044-54 (7-30)	NCTC 9368	37
Staphylococcus aureus	N 55	NCTC 9369	37
Chromobacterium violaceum	AM	NCTC 9370	37
Chromobacterium violaceum	MW	NCTC 9371	37
Chromobacterium violaceum	RV	NCTC 9372	37
Chromobacterium violaceum	FH	NCTC 9373	37
Chromobacterium violaceum	LG	NCTC 9374	37
Chromobacterium violaceum	DK	NCTC 9376	37
Chromobacterium violaceum	MH	NCTC 9377	37
Micrococcus luteus	50	NCTC 9379	37
Mannheimia haemolytica	1266/56 A & B	NCTC 9380	37
Neisseria meningitidis	220	NCTC 9388	37
Neisseria meningitidis	272	NCTC 9390	37
Neisseria meningitidis	1129	NCTC 9391	37
Staphylococcus aureus	MD 55	NCTC 9393	37
Enterobacter cloacae	d 236	NCTC 9394	37
Enterobacter cloacae	d 259	NCTC 9395	37
Enterobacter cloacae	A 103	NCTC 9396	37
Streptococcus agalactiae	107A Futterman	NCTC 9409	37
Streptococcus agalactiae	758 Cole	NCTC 9410	37
Streptococcus agalactiae	859 21800/52	NCTC 9411	37
Streptococcus agalactiae	906 Irene Morris	NCTC 9412	37
Streptococcus dysgalactiae subsp. equisimilis	202A (L 862/46)	NCTC 9413	37
Streptococcus dysgalactiae subsp. equisimilis	781 (E 160/46)	NCTC 9414	37
Streptococcus agalactiae	951	NCTC 9415	37
Serratia rubidaea	Elford	NCTC 9419	37
Vibrio cholerae biotype el tor	Tor A	NCTC 9420	37
Vibrio cholerae biotype el tor	Tor 1	NCTC 9421	37
Vibrio cholerae biotype el tor	Tor 8	NCTC 9422	37
Vibrio cholerae biotype el tor	Tor 31O	NCTC 9423	37
Moraxella bovis	4909/53	NCTC 9425	37
Moraxella bovis	6109/53	NCTC 9426	37
Acinetobacter haemolyticus	82 Groombridge	NCTC 9427	37
Pseudomonas fluorescens	85 Groombridge	NCTC 9428	30
Actinomyces bovis	B 11	NCTC 9429	37
Actinomyces bovis	B 12	NCTC 9430	37
Actinomyces bovis	B 14	NCTC 9431	37
Bacillus circulans	STOSB	NCTC 9432	37
Pseudomonas aeruginosa	292	NCTC 9433	37
Escherichia coli	Bullard	NCTC 9434	37
Actinobacillus equuli	BVE/1	NCTC 9435	37
Bacillus pumilus	Birmingham	NCTC 9436	37
Shigella sonnei	4647	NCTC 9492	37
Serratia plymuthica	9493 RE XX1VC	NCTC 9493	37
Klebsiella pneumoniae subsp pneumoniae	4428-53	NCTC 9494	37
Klebsiella pneumoniae sensu stricto	4432-53	NCTC 9495	37
Klebsiella edwardsii var. atlantae	4610-53	NCTC 9496	37
Klebsiella pneumoniae	453/54	NCTC 9498	37
Klebsiella pneumoniae	602/54	NCTC 9499	37
Klebsiella pneumoniae subsp. pneumoniae	367-54	NCTC 9504	37
Shigella sonnei	6670	NCTC 9506	37
Yersinia pseudotuberculosis	27	NCTC 9507	37
Yersinia pseudotuberculosis	43	NCTC 9508	37
Yersinia pseudotuberculosis	105	NCTC 9509	37
Raoultella planticola	MWB 1	NCTC 9527	37
Raoultella planticola	WB 2	NCTC 9528	37
Cronobacter universalis	MWB 3	NCTC 9529	37
Hafnia alvei	MWB 14	NCTC 9540	37
Staphylococcus aureus	Hen 27	NCTC 9546	37
Staphylococcus aureus	626	NCTC 9547	37
Staphylococcus aureus	Bov 3	NCTC 9551	37
Staphylococcus aureus	Bov 2	NCTC 9552	37
Staphylococcus aureus	Bov 1	NCTC 9553	37
Staphylococcus aureus	Sheep	NCTC 9555	37
Staphylococcus aureus	Hen 29	NCTC 9556	37
Proteus mirabilis	Frankfurt 2859	NCTC 9559	37
Clostridium tetani	McConkey	NCTC 9567	37
Clostridium tetani	128	NCTC 9568	37
Clostridium tetani	167	NCTC 9569	37
Clostridium tetani	Tulloch	NCTC 9570	37
Clostridium tetani	TenBroeck	NCTC 9571	37
Clostridium tetani	1053	NCTC 9573	37
Clostridium tetani	43	NCTC 9574	37
