Name	Strain	Temp	ncbiTaxID	Genome
Maribacter stanieri	KMM 6046	25,5	440514	
Paludibaculum fermentans	P105	24	1473598	
Telmatobacter bradus	TPB6017	24	474953	
Pseudoalteromonas agarivorans	KMM 255	24	176102	GCA_002310855.1
Sulfitobacter marinus	 SW-265	22,5	394264	
Sulfitobacter mediterraneus	CH-B427	22,5	83219	
Arenibacter echinorum	 KMM 6032	25	440515	
Salegentibacter flavus	Fg 69	23,5	287099	
Methanogenium cariaci	JR1	22,5	2197	
Flavimarina flava	MBLN091	22,5	2039708	
Rheinheimera gaetbuli	H26	22,5	1586750	
Psychroflexus salis	X15M-6	22,5	1526574	
Arcticiflavibacter luteus	SM1212	22,5	1434066	
Flavobacterium caeni	LM5	22,5	490189	
Maricaulis maris	CM11	22,5	74318	GCA_000014745.1
Flavobacterium hydatis	WBUAFS-KG3	22,5	991	
Marinobacterium aestuarii	ST58-10	22,5	1821621	GCA_001651805.1
Sanguibacter gelidistatuariae	ISLP-3	23	1814289	
Psychrobacter nivimaris	7/02/1988	12,5	281738	
Clostridium schirmacherense	AP15	7,5	351628	
Hymenobacter defluvii	 POA9	14	2054411	
Sphingorhabdus litoris	FR1093	27,75	-1	
Sphingorhabdus marina	FR1087	27,75	-1	
Sulfuriferula thiophila	mst6	32	1781211	
Mycolicibacter minnesotensis	DL49	30	1118379	
Simulacricoccus ruber	MCy10636	30	2303410	
Chitinophaga caeni	13	30	2029983	GCA_002557795.1
Soortia roseihalophila	Bsw-2b	30	1889947	
Arthrobacter gyeryongensis	DCY72	30	1650592	
Aquimixticola soesokkakensis	DSSK2-3	30	1519096	
Endomicrobium proavitum	Rsa215	30	1408281	GCA_001027545.1
Siccationidurans ginsengisoli	DCY57	30	1051626	
Mariniflexile aquimaris	HWR-17	30	881009	
Flavobacterium banpakuense	15F3	30	659444	
Pacificibacter marinus	HDW-9	30	658057	
Nocardioides insulae	DS-51	30	394734	
Hoeflea anabaenae	WH2K	30	369795	
Psychroserpens mesophilus	KOPRI 13649	30	325473	
Nocardioides alkalitolerans	KSL-1	30	281714	
Tenacibaculum maritimum	R2	30	107401	GCA_900119795.1
Nocardioides terrae	VA15	29	574651	
Croceitalea eckloniae	DOKDO 025	29	346189	
Litorimonas haliclonae	MAA42	28	2081977	
Mesorhizobium japonicum	Opo-235	28	2066070	GCA_000009625.1
Mesorhizobium erdmanii	USDA 3471	28	1040983	
Flavobacterium procerum	T3	28	1455569	
Noviherbaspirillum canariense	SUEMI03	28	1064516	
Pedobacter ginsengiterrae	DCY49	28	871696	
Flavobacterium saliperosum	S13	28	1341155	
Actinocrispum wychmicini	MI503-A4	27	1213861	
Labrenzia alexandrii	DFL-11	26	-1	
Litoreibacter ascidiaceicola	RSS4-C1	25	1486859	
Brachybacterium ginsengisoli	DCY80	25	1331682	GCA_002407065.1
Erythrobacter marinus	HWDM-33	25	-1	
Nocardioides hankookensis	DS-30	25	443157	
Pedobacter terricola	DS-45	25	430684	
Sphingomonas insulae	DS-28	25	424800	
Brevundimonas lenta	DS-18	25	424796	
Yoonia maricola	DSW-18	25	420999	
Cellulosimicrobium terreum	DS-61	25	412439	
Sphingomonas dokdonensis	DS-4	25	344880	
Lutibacter profundi	LP1	23	1622118	GCA_001543325.1
Dehalogenimonas lykanthroporepellens	BL-DC-9	31	552811	GCA_000143165.1
Nitrosopumilus adriaticus	NF5	31	1580092	GCA_000956175.1
Sulfuriflexus mobilis	aks1	31	1811807	GCA_003967195.1
Methylovulum miyakonense	HT12	28	1078846	
Micrococcus flavus	LW4	31	384602	
Pseudomonas haemolytica	WS 5063	30	2600065	
Archangium disciforme	CMU 1	29	38	
Enhygromyxa salina	SHK-1	29	215803	
Niabella tibetensis	415	27,5	706120	
Commensalibacter intestini	A911	27,5	1088868	
Herbaspirillum rhizosphaerae	UMS-37	27,5	346179	
Thiothrix nivea	JP2	27,5	1031	
Pseudomonas saxonica	WS 5072	27	2600598	
Psychrobacter fjordensis	BSw21516B	27	664424	
Psychrobacter glaciei	BIc20019	27	619771	
Phytohabitans rumicis	K11-0047	27	1076125	
Polaribacter staleyi	10Alg 139	26,5	2022337	
Arthrobacter ruber	MDB1-42	26,5	1258893	
Winogradskyella litoriviva	KMM 6491	26,5	1220182	
Rhizobium kunmingense	LX30	26,5	589104	
Kineococcus gynurae	KKD096	26,5	452979	
Epibacterium ulvae	U95	25	1156985	
Tenacibaculum adriaticum	B390	22	413713	
Mycetocola miduiensis	MD-T1-10-2	22,5	995034	
Jeotgalicoccus psychrophilus	YKJ-115	22,5	157228	
Mesonia algae	KMM 3909	22	213248	
Flaviramulus basaltis	H35	20,15	369401	
Celerinatantimonas yamalensis	C7	20	559956	
Methanobrevibacter filiformis	RFM-3	30	55758	
Roseisalinus antarcticus	EL-88	21	254357	
Hoeflea phototrophica	DFL-43	31	411684	
Streptacidiphilus pinicola	MMS16-CNU450	30	2219663	
Planctopirus ephydatiae	spb1	30	2528019	GCA_007752345.1
Rufibacter tibetensis	1351	30	512763	GCA_001310085.1
Fulvivirga lutimaris	TM-6	30	1819566	
Acidithiobacillus ferriphilus	M20	30	1689834	
Marivita litorea	CL-JM1	30	505251	
Mariniflexile ostreae	TYO-10	30	1520892	
Spongiimonas flava	J36A-7	30	1222336	
Povalibacter uvarum	Zumi 37	30	732238	
Eudoraea adriatica	AS06/20a	30	446681	
Agromyces allii	UMS-62	30	393607	
Pedobacter sandarakinus	DS-27	30	353156	
Sulfurospirillum multivorans	DSM 12446	30	1150621	GCA_000568815.1
Undibacterium jejuense	JS4-4	28	1344949	
Edaphobaculum flavum	1-116	28	1983306	
Paenibacillus qinlingensis	TEGT-2	28	1837343	
Puia dinghuensis	4GSH07	28	1792502	
Marinagarivorans algicola	Z1	28	1513270	
Actinospica durhamensis	CSCA57	28	1508375	
Chishuiella changwenlii	BY4	28	1434701	
Solimonas terrae	KIS83-12	28	1396819	
Sphingomonas gei	ZFGT-11	28	1395960	
Desulfovibrio litoralis	STL6	28	466107	
Tardiphaga robiniae	LMG 26466	28	943830	
Methylobacterium bullatum	F3.2	28	570505	
Mucilaginibacter ximonensis	XM-003	28	538021	
Adhaeribacter terreus	DNG6	28	529703	
Desulfovibrio cuneatus	STL1	28	159728	
Pseudoxanthomonas yeongjuensis	GR12-1	28	377616	
Actinospica acidiphila	GE134766	28	304899	
Desulfofaba fastidiosa	P2	28	247157	
Hyphomicrobium methylovorum	DSM 5458	28	84	
Hymenobacter profundi	M2	25	1982110	
Winogradskyella multivorans	T-Y1	25	1150776	
Flavobacterium compostarboris	15C3	25	659443	
Mucilaginibacter frigoritolerans	FT22	25	652788	
Mucilaginibacter mallensis	MP1X4	25	652787	
Pseudomonas pelagia	CL-AP6	25	-1	GCA_009497895.1
Lutimonas saemankumensis	SMK-142	25	483016	
Flavobacterium soli	DS-6	25	344881	
Pseudomonas lundensis	573	25	86185	GCA_001020725.2
Novosphingobium lentum	MT1	23	145287	
Taibaiella chishuiensis	AY17	20	1434707	
Neptunomonas qingdaonensis	P10-2-4	20	1045558	
Mucilaginibacter gracilis	TPT18	20	423350	
Pseudomonas helleri	WS4917	32	1608996	
Edaphobacter dinghuensis	DHF9	30,5	1560005	
Saccharospirillum impatiens	EL-105	31	169438	
Sphingomonas changbaiensis	V2M44	30	529705	
Pseudomonas carnis	B4-1	29	2487355	
Arthrobacter silviterrae	KIS14-16	29	2026658	
Friedmanniella aerolata	7515T-26	29	-1	
Lysobacter terricola	5GH18-14	29	1743261	
Ancylomarina subtilis	FA102	29	1639035	
Solirubrobacter phytolaccae	GTGR-8	29	1404360	
Sphingobium endophyticum	GZGR-4	29	1395957	
Solirubrobacter taibaiensis	GTJR-20	29	1395955	
Salegentibacter echinorum	HD4	29	1073325	
Aquimarina agarivorans	HQM9	29	980584	
Longispora fulva	KZ0017	29	619741	
Pelagibius litoralis	CL-UU02	29	374515	
Methylocapsa aurea	KYG	27,5	663610	
Chryseobacterium halperniae	H1	27,5	-1	
Pedobacter roseus	CL-GP80	27,5	336820	
Pseudomonas bubulae	TH39	27	2316085	
Luteolibacter gellanilyticus	CB-286403	26,5	1639998	
Sphingomonas naphthae	DKC5-1	26,5	1813468	
Amylibacter ulvae	6Alg 255	26,5	1651968	
Longimicrobium terrae	CB-286315	26,5	1639882	
Rhizobacter bergeniae	PLGR-1	26,5	1395940	
Flavobacterium daemonense	THG-DJ7	26,5	1393049	
Taibaiella smilacinae	PTJT-5	26,5	1303085	
Cocleimonas flava	KMM 3898	26,5	634765	
Umboniibacter marinipuniceus	KMM 3891	26,5	569599	
Polaribacter dokdonensis	DSW-5	26,5	1300348	
Chitinophaga aurantiaca	THG-SD5.5	26	2675051	
Flavobacterium tyrosinilyticum	THG-DN8.8	26	1658740	
Pedobacter humi	THG S15-2	26	1517591	
Acidicapsa borealis	KA1	25	946336	
Acidicapsa ligni	WH120	25	542300	
Bryobacter aggregatus	MPL3	25	1340493	
Actinospica robiniae	GE134769	25	304901	
Roseicitreum antarcticum	ZS2-28	26	564137	
Singulisphaera rosea	S26	23	643672	
Singulisphaera acidiphila	MOB10	23	466153	GCA_000242455.3
Marinomonas pontica	46-16	22,5	264739	
Shewanella pacifica	KMM 3597	22,5	-1	
Maribacter sedimenticola	KMM 3903	23	228956	
Formosa agariphila	KMM 3901	22	1347342	
Pibocella ponti	KMM 6031	22	270920	
Winogradskyella eximia	KMM 3944	22	262006	
Winogradskyella thalassocola	KMM 3907	22	262004	
Methyloferula stellata	AR4	21,5	876269	
Granulicella rosea	TPO1014	20	474952	
Granulicella paludicola	OB1010	20	474951	
Granulicella pectinivorans	TPB6011	20	474950	
Granulicella aggregans	TPB6028�	20	474949	
Ferrimonas kyonanensis	Asr22-7	26,5	364763	
Legionella massiliensis	LegA	32	1034943	
Entomoplasma luminosum	PIMN-1	32	-1	GCA_002803985.1
Garritya polymorpha	ATCC 27820	32	1001	
Blastomonas quesadae	912	30	1909751	
Gaetbulibacter aquiaggeris	KEM-8	30	1735373	
Alisedimentitalea scapharcae	MA2-16	30	1524259	
Amnibacterium soli	PB243	30	1282736	
Sphingomonas guangdongensis	9NM-8	30	1141890	
Elusimicrobium minutum	Pei191	30	445932	GCA_000020145.1
Pseudahrensia aquimaris	HDW-32	30	744461	
Spiroplasma chrysopicola	DF-1	30	1276227	GCA_000400935.1
Acholeplasma pleciae	PS-1	30	228419	
Mesoplasma photuris	PUPA-2	30	217731	
Spiroplasma sabaudiense	Ar-1343	30	1276257	GCA_000565215.1
Mesoplasma corruscae	 ELCA-2	30	216874	
Entomoplasma somnilux	PYAN-1	30	-1	GCA_002804005.1
Entomoplasma lucivorax	PIPN-2	30	-1	
Entomoplasma freundtii	BARC 318	30	74700	GCA_002804205.1
Mesoplasma entomophilum	TAC	30	2149	GCA_002749675.1
Entomoplasma ellychniae	ELCN-1	30	2114	
Nocardia casuarinae	BMG51109a	28	1463564	
Flavobacterium humi	DS2-A	28	2562683	
Nocardioides immobilis	FLL521	28	2049295	
Flavobacterium aurantiibacter	TH167	28	2023067	
Flavobacterium cyanobacteriorum	TH021	28	2022802	
Niveispirillum lacus	114	28	1981099	
Nocardioides sonneratiae	BGMRC0092	28	1962348	
Bacillus cavernae	L5	28	-1	
Chitinophaga barathri	YLT18	28	1647451	
Paenibacillus physcomitrellae	XB	28	1619311	
Plantactinospora soyae	NEAU-gxj3	28	1544732	
Thermomonas carbonis	GZ436 	28	1463158	
Streptosporangium sonchi	NEAU-QS7	28	1434731	
Novosphingobium malaysiense	MUSC 273	28	1348853	
Flavobacterium enshiense	DK69	28	1107311	
Luminiphilus syltensis	 Ivo14	28	1341119	
Novosphingobium lindaniclasticum	LE124	28	1096930	
Nonomuraea guangzhouensis	NEAU-ZJ3	28	1291555	
Sediminispirochaeta sinaica	SL	28	1266648	
Ichthyenterobacterium magnum	Th6	28	1230530	
Flavobacterium hauense	BX12	28	1204512	
Actinoplanes hulinensis	NEAU-M9	28	1144547	
Streptomyces mayteni	YIM 60475	28	481003	
Saccharopolyspora gloriosae	YIM 60513	28	455344	
Cereibacter changlensis	JA139	28	1188249	
Flavobacterium cheniae	NJ-26	28	295428	
Bradyrhizobium jicamae	PAC68	28	280332	
Azoarcus anaerobius	LuFRes1	28	-1	
Actinoplanes missouriensis	ATCC 14538	28	1866	GCA_000284295.1
Clostridium homopropionicum	LuHBu1	28	36844	
Shewanella pneumatophori	SCRC-2738	27	314092	
Methanospirillum psychrodurum	X-18	25	1390225	
Winogradskyella haliclonae	M1A16	25	2048558	
Roseivirga maritima	GM-5	25	1817404	
Pseudahrensia todarodis	KHS02	25	1532856	
Mucilaginibacter sabulilitoris	SMS-12	25	1173583	
Sulfuritalea hydrogenivorans	sk43H	25	1223802	GCA_000828635.1
Maribacter forsetii	KT02ds18-6	25	444515	
Nonlabens dokdonensis	 DSW-6	25	328515	GCA_000332115.1
Mariniflexile fucanivorans	SW5	25	264023	
Pseudofulvibacter marinus	RZW2-1	24	1642820	
Thiothrix lacustris	BL	24	525917	
Paenibacillus xylanexedens	B22a	23	528191	
Mesoplasma syrphidae	YJS	23	225999	GCA_002843565.1
Nocardioides glacieisoli	HLT3-15	20	1168730	
Polaribacter pacificus	HRA130-1	16	1775173	
Spiroplasma kunkelii	E275	31	47834	GCA_001274875.1
Caulobacter daechungensis	H-E3-2	30	1249558	
Humibacillus xanthopallidus	KV-663	29,5	412689	
Kineococcus mangrovi	L2-1-L1	26	1660183	
Acetobacter suratthaniensis	AI32	29,5	1502841	
Acidithiobacillus ferrianus	MG	29	2678518	
Nemorincola caseinilytica	 J116-2	29	2054315	
Allobranchiibius huperziae	�CPCC 204077	29	1874116	
Bradyrhizobium ingae	BR 10250	29	1497618	
Sphingomonas gimensis	9PNM-6	29	1141892	
Bradyrhizobium manausense	BR 3351	29	989370	
Labrys okinawensis	MAFF 210191	29	346911	
Spirochaeta perfilievii	P	29	-1	GCA_008329945.1
Methylobacterium marchantiae	JT1	27,5	600331	
Marinobacterium profundum	PAMC 27536	27,5	1714300	
Colwellia aestuarii	�SMK-10	27,5	-1	
Psychrobacter cibarius	JG-219	27,5	282669	
Desulfuromusa bakii	Gyprop	27,5	37624	
Halomonas halodenitrificans	ATCC 13511	27,5	28252	
Tanticharoenia aidae	VTH-Ai06	25	1552741	
Pedobacter nyackensis	NWG-II14	20	475255	
Methylophilus quaylei	MT	27	313369	
Acinetobacter piscicola	LW15	26,5	2006115	
Lacinutrix cladophorae	7Alg4	26,5	1778903	
Mucilaginibacter koreensis	TF8	26,5	1267444	
Friedmanniella flava	 W6	26,5	-1	
Mucilaginibacter soli	R9-65	26,5	1017095	
Nocardioides panzhihuensis	KLBMP 1050	26,5	860243	
Lutibacter oricola	UDC377	26,5	762486	
Kitasatospora gansuensis	HKI 0314	26,5	258050	
Haloferula luteola	YC6886	26,5	595692	
Friedmanniella sagamiharensis	FB2	26,5	-1	
Kitasatospora nipponensis	HKI 0315 	26,5	258049	
Marixanthomonas ophiurae	KMM 3046	26,5	387659	
Shewanella gelidii	RZB5-4	26	1642821	
Polaribacter marinaquae	RZW3-2	26	1642819	
Deefgea rivuli	WB 3.4-79	25,5	400948	
Enterovibrio baiacu	A649	25	2491023	
Friedmanniella okinawensis	FB1	25	-1	
Friedmanniella lucida	FA2	25	-1	
Aurantisolimonas haloimpatiens	BN130233	24	1638097	
Fodinicola feengrottensis	HKI 0501	24	435914	
Pedobacter kyonggii	K-4-11-1	19	1926871	
Pedobacter duraquae	WB 2.1-25	26	425511	
Schlesneria paludicola	MPL7	20,5	360056	
Sulfitobacter brevis	EL-162	14,5	74348	
Zobellia amurskyensis	KMM 3526	24	248905	
Sulfuriferula multivorans	TTN 	23,5	1559896	
Planktotalea frisia	SH6-1	22,5	696762	
Shewanella schlegeliana	HRKA1	22,5	190308	
Methylocapsa palsarum	NE2	21,5	1612308	
Flavobacterium olei	R-10-9	17,5	1886782	
Bryocella elongata	SN10	22	863522	
Maribacter ulvicola	KMM 3951	22	228959	
Maribacter orientalis	KMM 3947	22	228957	
Polaribacter butkevichii	KMM 3,938	22	218490	
Pseudophaeobacter leonis	306	19,5	1144477	
Sulfitobacter guttiformis	EL-38	16	74349	
Streptomyces beijiangensis	YIM6	14	163361	
Mycolicibacterium madagascariense	P2	31	212765	
Flavobacterium hibernum	 ATCC 51468	26	37752	
Pseudofulvibacter gastropodicola	MEBiC08749	25	1524960	
Kiloniella spongiae	LD81	25	1489064	
Mesonia ostreae	T-y2	25	861110	
Pedobacter lentus	DS-40	25	430683	
Rhizobium soli	DS-42	25	1368429	
Sulfitobacter donghicola	DSW-25	25	421000	
Pedobacter insulae	DS-139	25	414048	
Devosia insulae	DS-56	25	1116389	
Mucilaginibacter lappiensis	ANJLI2	25	354630	
Photobacterium aplysiae	GMD509	25	299462	
Chryseobacterium jeonii	AT1047	21,5	-1	GCA_900638245.1
Monaibacterium marinum	C7	20	1690039	
Cohaesibacter gelatinilyticus	CL-GR15	27,5	372072	
Perspicuibacter marinus	29	26	1459949	
Magnetovibrio blakemorei	MV-1	27	28181	
Pedobacter metabolipauper	WB 2.3-71	25	425513	
Lutibacter holmesii	KMM 6277	24	1137985	
Roseivirga echinicomitans	KMM 6058	22	296218	
Paenibacillus antarcticus	20CM	12,5	253703	GCA_008369725.1
Methanococcoides alaskense	AK-5	23,6	325778	
Paramoritella sediminis	MEBiC06500	23,5	1166481	
Edaphocola aurantiacus	H2	27,5	2601682	
Roseomonas aeriglobus	KER25-12	27,5	2267537	
Acuticoccus kandeliae	J103	27,5	2073160	
Actinomycetospora endophytica	A-T 8314	22,5	2291215	
Nesterenkonia endophytica	EGI 60016	22,5	2109272	
Methanobrevibacter curvatus	RFM-2	30	49547	
Lactobacillus curtus	VTT E-94560	30	-1	
Tetragenococcus osmophilus	 T1	30	526944	GCA_003795125.1
Oenococcus kitaharae	NRIC 0605	30	336988	
Francisella marina	E95-16	30	2249302	GCA_008369785.1
Colwellia sediminilitoris	YSM-23	30	-1	
Bacillus piscis	16MFT21	30	2679916	
Ornithinicoccus soli	XNB-1	30	2574732	
Hymenobacter daejeonensis	PB105	30	2249783	
Pedobacter agrisoli	YHM-9	30	2081981	
Burkholderia bonniea	BbQS859	30	-1	
Sabulilitoribacter arenilitoris	HMF6543	30	2044858	
Burkholderia hayleyella	BhQS11	30	-1	
Virgibacillus phasianinus	LM2416 	30	2017483	GCA_002216775.1
Maribius pontilimi	GH1-23	30	-1	
Thalassotalea litorea	HMF4135	30	2020715	
Puniceibacterium confluentis	JSSK-17	30	1958944	
Phreatobacter stygius	YC6-17	30	1940610	GCA_005144885.1
Labilibaculum manganireducens	59.10-2M	30	1940525	
Leucobacter musarum	CBX152	30	1930747	
Flaviramulus aestuariivivens	OITF-51	30	1926602	
Nonlabens aestuariivivens	OITF-31	30	1924271	
Arcobacter acticola	AR-13	30	1849015	
Maribacter litorisediminis	HPTF-2	30	1846261	
Pigmentiphaga aceris	SAP-32	30	1940612	GCA_008119665.1
Aeromonas finlandiensis	4287D	30	-1	
Pedobacter zeae	22	30	1737356	
Runella palustris	HMF3829	30	1681844	
Flavobacterium verecundum	TTM-46	30	1655235	
Endozoicomonas acroporae	Acr-14	30	1701104	
Oryzihumus soli	Aerobe-19	30	1634995	
Antricoccus suffuscus	C4-31	30	1629062	
Paralcaligenes ginsengisoli	DCY104	30	1636859	
Pseudomonas kribbensis	46-2	30	1628086	GCA_003352185.1
Pedobacter silvilitoris	W-WS1	30	1527678	
Desulfoprunum benzoelyticum	KoBa311	30	1506996	
Ruegeria meonggei	MA-E2-3	30	1446476	
Hymenobacter swuensis	DY53	30	1227739	GCA_000576555.1
Vibrio astriarenae	C7	30	1481923	
Chryseobacterium artocarpi	 UTM-3	30	1414727	
Winogradskyella sediminis	S5-23-3	30	1382466	
Arthrobacter ginsengisoli	DCY81	30	1356565	
Sulfitobacter noctilucae	NB-68 	30	1342302	
Ferruginibacter paludis	HME8881	30	1310417	
Ferruginibacter yonginensis	HME8442	30	1310416	
Hymenobacter marinus	KJ035	30	1278057	
Flavobacterium oryzae	Jyi-05	30	1237076	
Labrys soli	DCY64	30	1233475	
Taeseokella kangwonensis	HME8275	30	1230648	
Pedobacter rivuli	HME8457	30	1191371	
Mucilaginibacter aquaedulcis	PGW1-R01	30	1187081	
Spirosoma montaniterrae	 DY10	30	1178516	GCA_001988955.1
Paenibacillus swuensis	DY6	30	1178515	GCA_001644605.1
Flavobacterium hankyongi	 KTCe-4	30	1176532	
Prosthecobacter algae	 EBTL04	30	1144682	
Luteolibacter yonseiensis	EBTL01	30	1144680	
Lysobacter hankyongensis	KTCe-2	30	1176535	
Hirschia maritima	GSW-2	30	1121961	
Herbidospora soli	PS42-9	30	1070425	
Maribacter chungangensis	CAU 1044	30	1069117	
Klenkia soli	PB34	30	1052260	
Klenkia terrae	PB261	30	1052259	
Fimbriimonas ginsengisoli	Gsoil 348	30	661478	GCA_000724625.1
Cohnella cellulosilytica	FCN3-3	30	986710	
Mucilaginibacter flavus	HME6839	30	931504	
Arenibacter algicola	TG-409	30	616991	GCA_002234495.1
Parasediminibacterium paludis	HME6815	30	908966	
Actinomycetospora rishiriensis	RI109-Li102	30	878212	
Mucilaginibacter soyangensis	HME6664	30	869397	
Streptomyces chiangmaiensis	TA4-1	30	766497	
Micromonospora humi	P0402	30	745366	
Granulicella cerasi	Sakura1	30	741063	
Marivita roseacus	CB1052	30	692487	
Chryseobacterium yonginense	HMD1043	30	-1	
Paracoccus caeni	MJ17	30	657651	
Algoriphagus taeanensis	HMC4223	30	649201	
Mucilaginibacter myungsuensis	HMD1056	30	649104	
Allocatelliglobosispora scoriae	Sco-B14	30	643052	
Aeromonas aquatica	AE235	30	558964	
Soonwooa buanensis	HM0024	30	619805	
Aeromonas lacus	AE122	30	558884	
Fretibacter rubidus	JC2236	30	570162	
Mycobacterium stomatepiae	T11	30	470076	
Thiorhodococcus modestalkaliphilus	JA395	30	527199	
Paenibacillus pectinilyticus	RCB-08	30	512399	
Coralibacter albidoflavus	04OKA-3-121	30	-1	
Hydrogenophaga carboriunda	YZ2	30	480473	
Acanthopleuribacter pedis	FYK2218	30	442870	
Clostridium aestuarii	HY-45-18	30	338193	
Brevibacterium marinum	HFW-26	30	418643	
Nocardioides panacihumi	Gsoil 616	30	400774	
Pedobacter daechungensis	Dae 13	30	398054	
Salinicoccus jeotgali	S2R53-5	30	381634	
Methylobacterium jeotgali	S2R03-9	30	381630	
Flammeovirga kamogawensis	YS10	30	373891	
Aeromicrobium ginsengisoli	Gsoil 098	30	363867	
Aeromicrobium panaciterrae	Gsoil 161	30	363861	
Ferrimonas futtsuensis	 FUT3661	30	364764	
Polaromonas ginsengisoli	Gsoil 115	30	363842	
Geobacter bemidjiensis	Bem	30	-1	GCA_000020725.1
Desulfotignum phosphitoxidans	FiPS-3	30	190898	
Nocardiopsis metallicus	DSM 44598	30	179819	
Spiroplasma poulsonii	DW-1	30	2138	
Mycoplasma mobile	 163K	30	-1	GCA_000008365.1
Enterobacter mori	 R18-2	28	539813	
Rubellimicrobium rubrum	YIM 131921	28	2585369	
Nocardia zhihengii	YIM TG2190	28	2213111	
Neorhizobium tomejilense	HAMBI 540	28	2093828	
Actinophytocola glycyrrhizae	BMP B8152	28	2044873	
Roseovarius ramblicola	D15	28	2022336	
Nocardioides litoris	002-2	28	1926648	
Fuerstia marisgermanicae	NH11	28	-1	GCA_001983935.1
Paenibacillus ihbetae	IHBB 9852	28	1870820	GCA_002741055.1
Terrimonas crocea	M1-33108	28	1867851	
Delftia rhizosphaerae	RA6	28	1915059	
Anaerosporomusa subterranea	RU4	28	1794912	
Pseudomonas versuta	L10.10	28	1788301	GCA_001294575.1
Microlunatus nigridraconis	CPCC 203993	28	1710544	
Flavobacterium terriphilum	CUG00004	28	1706838	
Nocardia camponoti	1H-HV4	28	1616106	
Devosia humi	THG-MM1	28	1591105	
Flavobacterium vireti	THG-SM1	28	1582803	
Frankia coriariae	BMG5.1	28	1562887	
Aureisphaera galaxeae	04OKA003-7	28	1538023	
Rhodopirellula caenicola	YM26-125 	28	1536901	
Wenyingzhuangia gracilariae	N5DB13-4 	28	1536900	
Bradyrhizobium valentinum	LmjM3	28	1518501	
Streptomyces fuscigenes	JBL-20	28	1528880	
Microbacterium halimionae	PA36	28	1526413	
Microbacterium endophyticum	PA15	28	1526412	
Undibacterium seohonense	SHS5-24	28	1344950	
Halobacillus sediminis	NGS-2	28	1517559	
Frondibacter aureus	A5Q-67	28	1495146	
Flavobacterium gilvum	EM1308	28	1492737	GCA_001761465.1
Wenyingzhuangia heitensis	H-MN17	28	1487859	
Sphingomonas panaciterrae	DCY91	28	1462999	
Sphingobacterium rhinocerotis	YIM 101302	28	1453594	
Saccharopolyspora cavernae	YIM C01235	28	1387985	
Algisphaera agarilytica	06SJR6-2	28	1385975	
Sporosarcina siberiensis	1111S-42	28	1365606	
Cnuella takakiae	RG1-1	28	1302690	
Chryseobacterium polytrichastri	YG4-6	28	1302687	
Mesorhizobium calcicola	ICMP 19560	28	1300310	
Bradyrhizobium retamae	Ro19	28	1300035	
Humibacter antri	D7-27	28	1280375	
Frondihabitans sucicola	GRS42	28	1268041	
Chryseobacterium ginsengiterrae	DCY78	28	-1	
Lacinutrix iliipiscaria	Th68	28	1230532	
Nocardia aciditolerans	CSCA68	28	1224718	
Paraoerskovia sediminicola	H25-14	28	1138587	
Rhizobium aethiopicum	HBR26	28	1138170	
Promicromonospora iranensis	HM 792	28	1105144	
Sphingobium cupriresistens	CU4	28	1132417	
Gordonia alkaliphila	CJ10	28	1053547	
Rhizobium pongamiae	VKLR-01	28	927702	
Bradyrhizobium arachidis	CCBAU 051107	28	858423	
Rubellimicrobium roseum	YIM 48858	28	687525	
Auraticoccus monumenti	MON 2.2	28	675864	
Dactylosporangium luridum	BK63	28	649008	
Dactylosporangium luteum	BK51 	28	649007	
Sphingomonas xinjiangensis	1/10/1984	28	643568	
Sphingobium subterraneum	S-II-13	28	627688	
Paralcaligenes ureilyticus	GR24-5	28	627131	
Methylobacterium gossipiicola	Gh-105	28	582675	
Mucilaginibacter gossypii	Gh-67	28	551996	GCA_003286435.2
Mucilaginibacter gossypiicola	Gh-48	28	551995	
Oleispira lenta	DFH11	28	555883	
Streptomyces baliensis	ID03-0915	28	542764	
Chitinophaga niastensis	JS16-4	28	536980	
Bradyrhizobium rifense	CTAW71	28	515499	
Bradyrhizobium cytisi	CTAW11	28	515489	
Methylophilus rhizosphaerae	CBMB127	28	492660	
Agromyces aureus	AR33	28	453304	GCA_001660485.1
Methylobacterium phyllosphaerae	CBMB27	28	418223	GCA_001936175.1
Saccharothrix violaceirubra	YU 692-1	28	413306	
Kaistia defluvii	B6-12	28	410841	
Massilia aurea	AP13	28	373040	
Salinispora pacifica	CNR-114	28	351187	
Methylobacterium oryzae	CBMB20 	28	334852	GCA_000757795.1
Williamsia marianensis	MT8	28	322609	
Kocuria himachalensis	K07-05	28	322508	
Methylobacterium variabile	GR3	28	298794	
Methylobacterium aquaticum	GR16 	28	270351	GCA_001548015.1
Methylobacterium hispanicum	GP34	28	270350	
Klugiella xanthotipulae	44C3	28	244735	
Bradyrhizobium yuanmingense	CCBAU 10071	28	108015	
Kocuria palustris	DSM11925	28	71999	GCA_001275345.1
Streptacidiphilus torunensis	NF37	27	1813013	
Thiorhodococcus alkaliphilus	JA878	27	1752873	
Nitrosopumilus ureiphilus	PS0	26	1470067	
Zunongwangia endophytica	CPA58	26	1808945	
Mucilaginibacter pineti	M47C3B	26	1391627	
Planococcus versutus	 L10.15	26	1302659	GCA_001186155.3
Streptacidiphilus durhamensis	FSCA67	26	1242862	
Haliscomenobacter hydrossis	O	26	2350	GCA_000212735.1
