genus_and_species	taxonomy_id	strain	superkingdom	phylum	class	order	family	genus	assembly_or_accession	Genome_GC	Genome_size	16S_accssion	16S_GC	Tmin	Topt_ave	Topt_low	Topt_high	Tmax	Tmax_Tmin
Emticicia sediminis	1457543	JBR12	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Emticicia		37,7		KF309174	50,7	4	28			35	31
Phycicoccus soli	1456769	THG-a14	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Phycicoccus		71,6		KF999706	55,8	10	28			35	25
Sphaerisporangium corydalis	1441875	NEAU-YHS15	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Sphaerisporangium		76,5		KF956807	59,4	15	28			35	20
Sphaerisporangium dianthi	1436120	NEAU-CY18	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Sphaerisporangium		71,2		KF764483	59,7	15	28			35	20
Reyranella graminifolii	1368237	Wo-34	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales		Reyranella		59,8		AB839882	56,1	15	28			35	20
Streptosporangium nanhuense	1337876	NEAU-NH11	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Streptosporangium		66,5		KF146932	59,1	18	28			35	17
Catellatospora aurea	1337874	NEAU-SH16	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Catellatospora		71,1		KF000001	59,6	15	28			35	20
Streptomyces fuscichromogenes	1324013	m16	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces		70		KC771428	58,4	15	28			35	20
Streptosporangium shengliense	1301839	NEAU-GH7	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Streptosporangium		67,6		KC513503	58,6	16	28			35	19
Streptomyces zhaozhouensis	1300267	NEAU-LZS-5	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces		67,8		KC304791	57,9	16	28			35	19
Bradyrhizobium centrosematis	1300039	CMVU44	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium		62,7		NR_149804	55,7	15	28			35	20
Flagellimonas pacifica	1247520	SW169	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flagellimonas		43,3		JX501249	54,7	10	28			35	25
Leucothrix pacifica	1247513	XH122	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Leucothrix		46,2		JX501256	54,3	4	28			35	31
Paenibacillus quercus	1234628	1月25日	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus		41,6		JX409872	54,5	20	28			35	15
Mesorhizobium qingshengii	1165689	CCBAU 33460	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium		59,5		JQ339788	55,4	10	28			35	25
Rhodococcus nanhaiensis	1081097	SCSIO 10187	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus		63,5		JN582175	59,1	15	28			35	20
Hyunsoonleella pacifica	1080224	SW033	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Hyunsoonleella		36,1		JX501247	49,9	10	28			35	25
Paracoccus oceanense	1046116	JLT1679	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus		59,5		HQ638977	56,4	10	28			35	25
Rhodovulum bhavnagarense	992286	JA738	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum		63,4		FR828479	55,4	25	28			35	10
Vibrio caribbeanicus	701175	N384	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio		41,6		GU223601	53,9	10	28			35	25
Luteimicrobium subarcticum	620910	R19-04	Bacteria	Actinobacteria	Actinobacteria	Micrococcales		Luteimicrobium		72,9		AB489904	58,6	10	28			35	25
Rhizobium pisi	574561	ATCC 14482	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium		59,1		AY509899	55,7	10	28			35	25
Flavobacterium glycines	551990	Gm-149	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		35,6		EU672803	50,9	10	28			35	25
Massilia niabensis	544910	5420S-26	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia		67,8		EU808006	53,8	5	28			35	30
Pseudomonas yamanorum	515393	8H1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	GCA_001612705.2	60,6	6,9	EU557337	53,6	4	28			35	31
Cellulomonas aerilata	515326	5420S-23	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas		74		EU560979	58,3	5	28			35	30
Modestobacter marinus	477641	42H12-1	Bacteria	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Modestobacter	GCA_000306785.1	74,1	5,6	EU181225	59	4	28			35	31
Desulfopila inferna	468528	JS_SRB250Lac	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfopila		50,3		AM774321	52,9	10	28			35	25
Massilia aerilata	453817	5516S-11	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia		68,9		EF688526	54,5	5	28			35	30
Microbacterium profundi	450380	Shh49	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium		66,8		EF623999	55,9	4	28			35	31
Nocardioides agariphilus	433664	MSL-28	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides		69,4		EF466113	57,9	25	28			35	10
Nocardioides bigeumensis	433657	MSL-19	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides		69,3		EF466114	58,7	20	28			35	15
Methylobacterium aerolatum	418708	5413S-11	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		73,2		EF174498	56,9	10	28			35	25
Rhodanobacter ginsengisoli	418646	GR17-7	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter		61		EF166075	55,6	5	28			35	30
Andreprevotia chitinilytica	396808	JS11-7	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Andreprevotia		62		DQ836355	54,9	5	28			35	30
Dyadobacter beijingensis	365489	A54	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter		49,2		DQ335125	52,8	4	28			35	31
Rhodovulum imhoffii	365340	JA125	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum		58		AM180953	55,2	20	28			35	15
Rhodovulum visakhapatnamense	364297	JA181	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum		61,2		AM180707	55,4	20	28			35	15
Paracoccus tibetensis	336292	Tibet-S9a3 	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus		69,1		DQ108402	55,6	10	28			35	25
Methylobacterium adhaesivum	333297	AR27	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		63,6		AM040156	56,6	15	28			35	20
Beggiatoa leptomitoformis	288004	 D-402	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Beggiatoa	GCA_002849755.2	40,5	4,3	AY583996	52	8	28			35	27
Streptomyces euryhalinus	207915	MS 3/20	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces		77,3		KR827683	59,7	24	28			35	11
Vibrio hepatarius	171383	LMG 20362	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio		45,5		AJ345063	53,5	4	28			35	31
Nocardiopsis halotolerans	124252	DSM 44410	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis		68		AJ290448	59,3	28	28			35	7
Streptomyces tsukubensis	83656	SD504	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	GCA_009296025.1	70,4	8,6	EF540897	59,2	15	28			35	20
Mesoplasma seiffertii	28224	F7	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae	Mesoplasma		30		AY351331	50	20	28			35	15
Halochromatium roseum	391920	JA134	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Halochromatium		64		AM283535	56,7	20	27			35	15
Algicola sagamiensis	163869	B-10-31	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Algicola		42		AB063324	54,3	15	27			35	20
Pararhizobium capsulatum	34014	Müller 216	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pararhizobium		59		X73042	55,2	14	27			35	21
Sphingomonas polyaromaticivorans	433606	B2-7	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		61,8		EF467848	55,3	20	26			35	15
Methanosarcina lacustris	170861	ZS	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	GCA_000970265.1	41,8	4,1	AF432127	56,6	1	25			35	34
Lactovum miscens	190387	anNAG3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactovum		37,6		AJ439543	51,4	0	25			35	35
Stagnimonas aquatica	2689987	THS-13	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Stagnimonas		67,6		MG649968	54,2	20	25			35	15
Pseudomonas leptonychotis	2448482	P5773	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		58,8		RFLV01000010	53,3	2	25			35	33
Siphonobacter curvatus	2094562	HR-U	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Siphonobacter		47,9		MF682433	53,1	5	25			35	30
Bacillus populi	2011011	FJAT-45347	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus		40,6		KY612313	55,3	15	25			35	20
Roseobacter ponti	1891787	MM-7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter		60,8		KX756455	54,5	4	25			35	31
Epidermidibacterium keratini	1891644	EPI-7	Bacteria	Actinobacteria	Actinobacteria	Sporichthyales	Sporichthyaceae	Epidermidibacterium		68,9		KX755247	56,6	15	25			35	20
Luteolibacter flavescens	1859460	GKX	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter		59,5		KX185934	56,1	20	25			35	15
Erythrobacter arachoides	1850444	RC4-10-4	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter		66,4		KU302715	54,1	0	25			35	35
Lewinella aquimaris	1835722	HDW-36	Bacteria	Bacteroidetes	Saprospiria	Saprospirales	Lewinellaceae	Lewinella		60,9		KX084062	53,9	4	25			35	31
Oceanihabitans sediminis	1812012	S9-10	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Oceanihabitans		34,2		KU517448	49,5	1	25			35	34
Polaribacter vadi	1774273	LPB0003	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	GCA_001761365.1	29,6	3,8	KT355267	49,5	4	25			35	31
Paenibacillus crassostreae	1763538	LPB0068	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	GCA_001857945.1	39,9	4,8	KU057345	54,7	4	25			35	31
Hydrogenophaga crassostreae	1763535	LPB0072	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	GCA_001761385.1	61,3	4,9	KU198320	54,2	4	25			35	31
Pontivivens insulae	1639689	GYSW-23 	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pontivivens		60,6		KP662553	55,2	15	25			35	20
Saccharibacillus deserti	1634444	WLJ055	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Saccharibacillus		55,5		KP191067	56,2	10	25			35	25
Vibrio barjaei	1676683	3062	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio		44,2		NR_152641	54,6	15	25			35	20
Formosa haliotis	1555194	LMG 28520 	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Formosa		34,4		LC005522	48,4	10	25			35	25
Mucilaginibacter ginsengisoli	1547583	 B4Y-8	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter		49		KM030577	51,9	10	25			35	25
Psychroflexus planctonicus	1526575	X15M-8	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus		35		KJ782429	49,2	4	25			35	31
Altererythrobacter gangjinensis	1028742	KJ7	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter				JF751048	51,9	5	25			35	30
Seonamhaeicola aphaedonensis	1461338	AH-M5	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Seonamhaeicola		34,8		KF876013	51,2	15	25			35	20
Sphingomonas arantia	1460676	6P	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		65,3		KF876174	54,4	4	25			35	31
Maribacter caenipelagi	1447781	HD-44	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maribacter		37,6		KF748920	53,1	4	25			35	31
Polymorphobacter fuscus	1439888	D40P	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Polymorphobacter		67,4		KF737330	54,3	4	25			35	31
Sphingobacterium yamdrokense	1378309	3-0-1	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium		42,5		KC904977	52	5	25			35	30
Niabella terrae	1367380	ICM 1-15	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Niabella		43,6		KF289904	50,8	15	25			35	20
Lacimonas salitolerans	1323750	TS-T30	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Lacimonas		62		KC762318	54,9	10	25			35	25
Belliella aquatica	1323734	TS-T86	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Belliella		35		KC762321	52,4	4	25			35	31
Algibacter miyuki	1306933	WS-MY6	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Algibacter		35,3		KC662118	49,1	4	25			35	31
Yoonia sediminilitoris	1286148	D1-W3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Yoonia		58,1		KC311338	54,3	10	25			35	25
Algibacter undariae	1285464	WS-MY9	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Algibacter		35		KC261664	49	4	25			35	31
Sphingorhabdus rigui	1282858	01SU5-P	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus		57,3		HQ436492	52,6	10	25			35	25
Mesoflavibacter aestuarii	1266046	KYW614	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Mesoflavibacter		32,6		JX854528	49,8	4	25			35	31
Paenibacillus shirakamiensis	1265935	P-1	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus		43,9		AB769168	53,6	4	25			35	31
Vibrio bivalvicida	1276888	605	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio		42,3		NR_135208	53,9	15	25			35	20
Jannaschia faecimaris	1244108	HD-22	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Jannaschia		64,6		JX680802	54,1	4	25			35	31
Puniceibacterium antarcticum	1206336	SM1211	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Puniceibacterium		60,7		JX070673	54	4	25			35	31
Ferrimonas pelagia	1177826	CBA4601	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Ferrimonadaceae	Ferrimonas		54,2		JQ780822	54,4	20	25			35	15
Bizionia hallyeonensis	1123757	 T-y7	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bizionia		37,1		JN885199	49,2	4	25			35	31
Winogradskyella pulchriflava	1110688	EM106	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella		33,3		JN896598	50,3	10	25			35	25
Pelagibacterium nitratireducens	1046114	 JLT2005	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pelagibacterium		74,3		HQ638980	54,5	20	25			35	15
Arenibacter hampyeongensis	1028743	HP12	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Arenibacter		37,1		JF751052	54,2	5	25			35	30
Massilia yuzhufengensis	1164594	Y1243-1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia		65,7		JQ409016	53,4	2	25			35	33
Endozoicomonas montiporae	1027273	CL-33	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Endozoicomonadaceae	Endozoicomonas		50		FJ347758	55,2	15	25			35	20
Rhodopirellula rubra	980271	LF2	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Rhodopirellula		56,1		HQ845500	54	5	25			35	30
Sphingorhabdus wooponensis	940136	03SU3-P 	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus		53,3		HQ436493	52,8	10	25			35	25
Pseudoalteromonas arabiensis	874454	k53	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas		43		AB576636	53	6	25			35	29
Oceanibacterium hippocampi	745714	BFLP-8	Bacteria	Proteobacteria	Alphaproteobacteria	Sneathiellales	Sneathiellaceae	Oceanibacterium		57,8		FN687912	56,8	10	25			35	25
Flavobacterium ponti	665133	GSW-R14	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		31,4		GQ370387	49,7	10	25			35	25
Mycolicibacterium hippocampi	659824	BFLP-6	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium		66,7		FN430736	58	15	25			35	20
Burkholderia alpina	621374	PO-04-17-38	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia		64,9		JF763852	55,4	5	25			35	30
Hasllibacter halocynthiae	595589	KME 002	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Hasllibacter		71,6		FJ638616	55,4	13	25			35	22
Celeribacter neptunius	588602	 H 14	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Celeribacter		59,1		FJ535354	55	5	25			35	30
Marinobacter antarcticus	564117	ZS2-30	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter		55,8		FJ196022	54,8	4	25			35	31
Halobacillus naozhouensis	554880	JSM 071068	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Halobacillus		42,8		EU925615	55,6	10	25			35	25
Flavobacterium chungangense	554283	CJ7	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		34,5		EU924275	50,7	5	25			35	30
Lewinella lutea	438752	FYK2402M69	Bacteria	Bacteroidetes	Saprospiria	Saprospirales	Lewinellaceae	Lewinella		56		AB301494	53,3	10	25			35	25
Agromyces terreus	424795	DS-10	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces		71,1		EF363711	57,1	10	25			35	25
Pedobacter terrae	405671	DS-57	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter		39,7		DQ889723	52,2	4	25			35	31
Methylobacterium gregans	374424	002-074	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		70		AB252200	56,8	10	25			35	25
Tateyamaria pelophila	328415	SAM4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tateyamaria		56,4		AJ968651	53,3	4	25			35	31
Aeromicrobium alkaliterrae	302168	 KSL-107	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium		71,5		AY822044	57,8	4	25			35	31
Yoonia rosea	287098	Fg36	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Yoonia		60,5		AY682199	54,4	4	25			35	31
Loktanella agnita	287097	R10SW5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Loktanella		59,1		AY682198	54,5	8	25			35	27
Salipiger thiooxidans	282683	CHLG 1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Salipiger		68,4		AY639887	56	8	25			35	27
Aeromicrobium marinum	219314	T2	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium		70,6		AY166703	57,4	4	25			35	31
Psychrobacter okhotskensis	212403	MD17	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter		46,7		AB094794	53	0	25			35	35
Desulfobulbus mediterraneus	160661	86FS1	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfobulbus		58,6		AF354663	52,9	10	25			35	25
Sulfuricurvum kujiense	148813	YK-1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfuricurvum	GCA_000183725.1	44,6	2,8	AB053951	51,7	10	25			35	25
Pseudomonas psychrophila	122355	E-3	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		57,5		AB041885	52,7	-1	25			35	36
Actinoplanes campanulatus	113559	ATCC 15348	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes		71		AB036995	59,2	18	25			35	17
Tetrasphaera elongata	101689	Lp2	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Tetrasphaera		69,6		NR_024735	57	20	25			35	15
Spirillospora albida	58123	ATCC 15331	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Spirillospora		71		D85498	59,8	18	25			35	17
Nakamurella multipartita	53461	Y-104	Bacteria	Actinobacteria	Actinobacteria	Nakamurellales	Nakamurellaceae	Nakamurella	GCA_000024365.1	70,9	6,1	D50066	58,6	10	25			35	25
Actinoplanes regularis	52697	CBS 193.64	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes		72,3		AB037011	59,5	18	25			35	17
Leucothrix mucor	45248	ATCC 25107	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Leucothrix		49		X87277	52,5	0	25			35	35
Leptothrix cholodnii	34029	LVMW 99	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales		Leptothrix	GCA_000019785.1	68,9	4,9	AB602771	55,4	10	25			35	25
Leptothrix discophora	89	SS-1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales		Leptothrix		71		L33975	55,6	10	25			35	25
Aureimonas glaciei	1776957	B5-2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae	Aureimonas		69,3		KU253627	56,3	4	20			35	31
Polaribacter huanghezhanensis	1354726	SM1202	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter		36,4		KC793205	49,7	4	20			35	31
Kordiimonas aquimaris	707591	MEBiC06554	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	Kordiimonas		50,3		GU289640	54,2	11	20			35	24,5
Vibrio hippocampi	654686	BFLP-4	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio		49,3		FN421434	54,5	10	20			35	25
Chitinibacter alvei	591203	TNR-14	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chitinibacter		57,5		FJ593907	54,6	10	20			35	25
Hymenobacter cavernae	2044852	K1E01-27	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter		54,9		MF193478	55,1	4	15			35	31
Methanococcoides methylutens	2226	TMA-10	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	GCA_000970325.1	44	2,4	M59127	52,3	15	32,5	30	35	35	20
Lactobacillus timberlakei	2008380	HV_12	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		30,5		KX656650	50,2	15	32,5	30	35	35	20
Lactobacillus quenuiae	2008377	HV_6	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		30,3		KX656667	50,1	15	32,5	30	35	35	20
Lactobacillus micheneri	1899430	Hlig3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		30,7		KT833121	50	15	32,5	30	35	35	20
Hyphomicrobium nitrativorans	1427356	NL23 	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	GCA_000503895.1	63,9	3,7	JX131369	55,3	15	32,5	30	35	35	20
Paracoccus laeviglucosivorans	1197861	43P	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus		64,1		AB727354	55,1	16	32,5	30	35	35	19
Aquimarina spongiae	570521	A6	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aquimarina		36		FJ348470	50,4	10	32,5	30	35	35	25
Aquisphaera giovannonii	406548	OJF2	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Isosphaeraceae	Aquisphaera	GCA_008087625.1		10,5	DQ986200	61,4	10	32,5	30	35	35	25
Thalassobaculum litoreum	420996	CL-GR58	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Thalassobaculum		68		EF203900	57,3	10	32,5	30	35	35	25
Hyunsoonleella jejuensis	419940	CNU004	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Hyunsoonleella		37,7		EF217419	51,8	15	32,5	30	35	35	20
Mycobacterium nebraskense	244292	ATCC BAA-837	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium				AY368456	58,1	25	32,5	30	35	35	10
