Species	Strain	NCTC_number	Type_Strain	Cond_solid	Cond_liquid
Capnocytophaga haemolytica		NCTC 12947	Yes	CBAR + blood concentration (10%) (Columbia Bartenella), 48 hours, 37°C, requires carbon dioxide	
Capnocytophaga granulosa		NCTC 12948	Yes	CBAR + blood concentration (10%) (Columbia Bartenella), 48 hours, 37°C, requires carbon dioxide	
Morococcus cerebrosus		NCTC 12949	No		
Escherichia coli		NCTC 12950	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Pseudomonas aeruginosa	W	NCTC 12951	No	Nutrient agar, 24 hours, 37°C, aerobic	
Enterococcus faecium		NCTC 12952	No		
Lactobacillus rhamnosus		NCTC 12953	Yes	MRS, 24 hours, 37°C, requires carbon dioxide	
Leuconostoc mesenteroides		NCTC 12954	Yes	CBAR + blood concentration (10%) (Columbia Bartenella), 24-48 hours, 37°C, aerobic	
Brevibacterium iodinum		NCTC 12955	Yes		
Pediococcus pentosaceus		NCTC 12956	Yes		
Streptococcus acidominimus		NCTC 12957	Yes	Columbia blood agar, 24-48 hours, 37°C, aerobic	
Streptococcus salivarius subsp. thermophilus		NCTC 12958	Yes	Columbia blood agar, 24-48 hours, 37°C, aerobic	
Aeromonas salmonicida		NCTC 12959	Yes	Nutrient agar, 24 hours, 30°C, aerobic	
Shewanella putrefaciens		NCTC 12960	Yes		
Serratia plymuthica		NCTC 12961	Yes	Nutrient agar, 24 hours, 30°C, aerobic	
Prevotella melaninogenica		NCTC 12963	Yes	Fastidious anaerobe agar, 48 hours, 37°C, anaerobic	
Oligella urethralis		NCTC 12964	Yes	Columbia blood agar, 24-48 hours, 37°C, aerobic	
Serratia fonticola		NCTC 12965	Yes	Nutrient agar, 24 hours, 37°C, aerobic	
Sarcina ventriculi		NCTC 12966	Yes		
Propionibacterium propionicum		NCTC 12967	Yes	Fastidious anaerobe agar, 48 hours, 37°C, anaerobic	
Gemella haemolysans		NCTC 12968	Yes		
Streptococcus equinus		NCTC 12969	Yes	Columbia blood agar, 24-48 hours, 37°C, aerobic	
Vibrio harveyi		NCTC 12970	Yes	Nutrient agar, 24 hours, 37°C, requires carbon dioxide	
Serratia rubidaea		NCTC 12971	Yes	Nutrient agar, 24 hours, 37°C, aerobic	
Staphylococcus aureus		NCTC 12973	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Bacillus mycoides		NCTC 12974	Yes		
Haemophilus influenzae		NCTC 12975	No	Chocolate blood agar, 48 hours, 37°C, requires carbon dioxide	
Streptococcus pneumoniae		NCTC 12977	No	Columbia blood agar, 24-48 hours, 37°C, aerobic, requires carbon dioxide	
Neisseria mucosa		NCTC 12978	Yes	Columbia blood agar, 24 hours, 37°C, aerobic	
Aeromonas sobria		NCTC 12979	Yes		
Lactobacillus acidophilus		NCTC 12980	Yes	CBAR + blood concentration (10%) (Columbia Bartenella), 48-120 hours, 37°C, microaerophilic	
Staphylococcus aureus		NCTC 12981	No	Nutrient agar, 24 hours, 37°C, aerobic	
Yersinia enterocolitica subsp enterocolitica		NCTC 12982	Yes	Nutrient agar, 24 hours, 37°C, aerobic	
Acinetobacter calcoaceticus		NCTC 12983	Yes		
Shigella sonnei		NCTC 12984	Yes		
Shigella boydii		NCTC 12985	Yes		
Yersinia ruckeri	CDC 2396-61	NCTC 12986	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	
Pasteurella multocida		NCTC 12987	No		
Clostridium scatologenes		NCTC 12992	Yes		
Kluyvera cryocrescens		NCTC 12993	Yes	Nutrient agar, 24 hours, 37°C, aerobic	
Slackia exigua		NCTC 12994	Yes	Fastidious anaerobe agar, 48 hours, 37°C, anaerobic	
Bordetella trematum		NCTC 12995	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	
Actinobacillus suis		NCTC 12996	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	
Brevibacterium epidermidis		NCTC 12997	Yes		
Raoultella planticola		NCTC 12998	Yes	Nutrient agar, 24 hours, 37°C, aerobic	
Paenibacillus thiaminolyticus		NCTC 12999	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	
Granulicatella adiacens		NCTC 13000	Yes	Columbia blood agar, 24 hours, 37°C, requires carbon dioxide	
Bifidobacterium bifidum		NCTC 13001	Yes	Fastidious anaerobe agar, 48 hours, 37°C, anaerobic	
Pseudomonas chlororaphis subsp. chlororaphis		NCTC 13002	Yes	Nutrient agar, 24 hours, 30°C, aerobic	
Campylobacter lanienae		NCTC 13003	No		
Campylobacter lanienae		NCTC 13004	Yes		
Campylobacter coli ssp. aquaticus		NCTC 13006	No		
Burkholderia multivorans		NCTC 13007	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	
Burkholderia cenocepacia	CL81/92	NCTC 13008	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Burkholderia cenocepacia	Lauwers A8P	NCTC 13009	No		
Burkholderia cenocepacia	CL83/92	NCTC 13010	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Burkholderia stabilis		NCTC 13011	Yes	Columbia blood agar, 48 hours, 37°C, aerobic	
Neisseria dentiae		NCTC 13012	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	
Stenotrophomonas africana		NCTC 13014	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	
Corynebacterium imitans		NCTC 13015	Yes	Columbia blood agar, 24 hours, 37°C, aerobic	
Haemophilus influenzae		NCTC 13016	No		
Legionella waltersii		NCTC 13017	Yes	Buffered Charcoal Yeast Extract agar (BCYE), 48 hours, 37°C, requires carbon dioxide	
Legionella genomospecies 1		NCTC 13018	No		
Clostridium bifermentans		NCTC 13019	Yes		
Clostridium sporogenes		NCTC 13020	Yes	Fastidious anaerobe agar, 24-48 hours, 37°C, anaerobic	
Rhodococcus erythropolis		NCTC 13021	Yes	Nutrient agar, 48 hours, 30°C, aerobic	
Clostridium chauvoei		NCTC 13023	Yes		
Mycobacterium intracellulare		NCTC 13025	Yes		
Clostridium glycolicum		NCTC 13026	Yes		
Clostridium cochlearium		NCTC 13027	Yes	Fastidious anaerobe agar, 24-48 hours, 37°C, anaerobic	
Clostridium lentoputrescens		NCTC 13028	Yes		
Clostridium novyi		NCTC 13029	Yes		
Mycobacterium abscessus		NCTC 13031	Yes	Columbia blood agar, 48-72 hours, 30°C, aerobic	
Leclercia adecarboxylata		NCTC 13032	Yes	Nutrient agar, 24 hours, 37°C, aerobic	
Streptomyces griseus		NCTC 13033	Yes	Columbia blood agar, 48 hours, 30°C, aerobic	
Mycobacterium avium subsp. avium		NCTC 13034	Yes	Lowenstein-Jensen medium, 37°C, aerobic	
Clostridium beijerinckii		NCTC 13035	Yes	Fastidious anaerobe agar, 24-48 hours, 37°C, anaerobic	
Clostridium carnis		NCTC 13036	Yes		
Clostridium putrificum		NCTC 13037	Yes		
Raoultella terrigena		NCTC 13038	Yes	Nutrient agar, 24 hours, 37°C, aerobic	
Dermatophilus congolensis		NCTC 13039	Yes	Columbia blood agar, 48 hours, 37°C, aerobic	
Tsukamurella paurometabola		NCTC 13040	No		
Prevotella pallens		NCTC 13042	Yes		
Prevotella pallens		NCTC 13043	No		
Brachyspira innocens		NCTC 13044	No		
Brachyspira pilosicola		NCTC 13046	No	Fastidious anaerobe agar, 8 days, 37°C, anaerobic	
Bacteroides caccae		NCTC 13051	Yes		
Bacteroides merdae		NCTC 13052	Yes		
Bacteroides stercoris		NCTC 13053	Yes	Fastidious anaerobe agar, 24-48 hours, 37°C, anaerobic	
Bacteroides uniformis		NCTC 13054	Yes		
Porphyromonas catoniae		NCTC 13056	Yes		
Porphyromonas endodontalis		NCTC 13058	Yes	Fastidious anaerobe agar, 72 hours, 37°C, anaerobic	
Prevotella buccae		NCTC 13063	No		
Prevotella buccalis		NCTC 13064	Yes		
Prevotella corporis		NCTC 13065	Yes	Fastidious anaerobe agar, 72 hours, 37°C, anaerobic	
Prevotella denticola		NCTC 13067	Yes	Fastidious anaerobe agar, 48-72 hours, 37°C, anaerobic	
Prevotella enoeca		NCTC 13068	Yes		
Prevotella intermedia		NCTC 13070	Yes	Fastidious anaerobe agar, 48 hours, 37°C, anaerobic	
Prevotella oris		NCTC 13071	Yes	CBAR + blood concentration (10%) (Columbia Bartenella), 48 hours, 37°C, anaerobic	
Alloprevotella tannerae		NCTC 13073	Yes	Fastidious Anaerobe agar, 37C, AnO2, 72 hours	
Peptoniphilus harei		NCTC 13076	Yes	Fastidious anaerobe agar, 24-48 hours, 37°C, anaerobic	
Peptoniphilus harei		NCTC 13077	No		
Peptoniphilus ivorii		NCTC 13078	Yes	Fastidious anaerobe agar, 24-48 hours, 37°C, anaerobic	
Peptoniphilus ivorii		NCTC 13079	No		
Anaerococcus octavius		NCTC 13080	No		
Helicobacter pylori		NCTC 13081	No		
Helicobacter pylori		NCTC 13082	No		
Helicobacter pylori		NCTC 13083	No		
Helicobacter pylori		NCTC 13084	No		
Helicobacter pylori		NCTC 13085	No		
Helicobacter pylori		NCTC 13086	No		
Helicobacter pylori		NCTC 13087	No		
Helicobacter pylori		NCTC 13089	No		
Helicobacter pylori		NCTC 13090	No		
Anaerobiospirillum thomasii		NCTC 13093	No		
Helicobacter pylori		NCTC 13094	No		
Klebsiella planticola		NCTC 13095	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Raoultella ornithinolytica		NCTC 13096	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Raoultella terrigena		NCTC 13097	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Raoultella terrigena		NCTC 13098	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Porphyromonas macacae		NCTC 13100	Yes		
Helicobacter fennelliae		NCTC 13101	No		
Helicobacter fennelliae		NCTC 13102	No		
Campylobacter jejuni		NCTC 13103	No		
Campylobacter jejuni		NCTC 13104	No		
Campylobacter jejuni		NCTC 13105	No		
Castellaniella denitrificans		NCTC 13106	No		
Clostridium perfringens		NCTC 13107	No		
Clostridium perfringens		NCTC 13108	No		
Clostridium perfringens		NCTC 13109	No		
Clostridium perfringens		NCTC 13110	No		
Clostridium perfringens		NCTC 13111	No		
Clostridium sardiniense		NCTC 13112	No		
Vibrio furnissii		NCTC 13120	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	
Fusobacterium naviforme		NCTC 13121	Yes		
Streptococcus constellatus subsp. pharyngis		NCTC 13122	Yes	Columbia blood agar, 24-48 hours, 37°C, anaerobic	
Escherichia coli		NCTC 13125	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Escherichia coli		NCTC 13126	No		
Escherichia coli		NCTC 13127	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Escherichia coli		NCTC 13128	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Corynebacterium diphtheriae		NCTC 13129	No		
Staphylococcus aureus		NCTC 13130	No		
Staphylococcus aureus		NCTC 13131	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Staphylococcus aureus		NCTC 13132	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Staphylococcus aureus		NCTC 13133	No	Nutrient agar, 24 hours, 37°C, aerobic	
Staphylococcus aureus		NCTC 13134	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Staphylococcus aureus		NCTC 13135	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Staphylococcus aureus		NCTC 13136	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Staphylococcus aureus		NCTC 13137	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Staphylococcus aureus		NCTC 13138	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Staphylococcus aureus		NCTC 13139	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Staphylococcus aureus		NCTC 13140	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Staphylococcus aureus		NCTC 13141	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Staphylococcus aureus		NCTC 13142	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Staphylococcus aureus		NCTC 13143	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Mycobacterium tuberculosis	H37 Rv, TMC 102	NCTC 13144	Yes	Lowenstein-jensen media,37, aerobic	
Proteus vulgaris		NCTC 13145	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	
Campylobacter hominis		NCTC 13146	Yes		
Burkholderia ubonensis		NCTC 13147	Yes		
Escherichia coli		NCTC 13148	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Peptostreptococcus lacrimalis		NCTC 13149	Yes		
Peptostreptococcus prevotii		NCTC 13150	No		
Peptostreptococcus asaccharolyticus		NCTC 13151	No		
Neisseria meningitidis		NCTC 13152	No		
Helicobacter pullorum		NCTC 13153	No		
Helicobacter pullorum		NCTC 13154	No		
Helicobacter pullorum		NCTC 13155	No		
Helicobacter pullorum		NCTC 13156	No		
Helicobacter pullorum		NCTC 13157	No		
Pandoraea apista		NCTC 13158	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	
Pandoraea pulmonicola		NCTC 13159	Yes		
Pandoraea pnomenusa		NCTC 13160	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	
Pandoraea sputorum		NCTC 13161	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	
Pandoraea norimbergensis		NCTC 13162	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	
Exiguobacterium aurantiacum		NCTC 13163	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	
Exiguobacterium aurantiacum		NCTC 13164	No		
Bartonella schoenbuchensis		NCTC 13165	Yes		
Streptococcus australis	AI-1	NCTC 13166	Yes		
Escherichia coli		NCTC 13167	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Enterobacter cloacae	WR3	NCTC 13168	No		
Enterococcus faecium		NCTC 13169	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	
Clostridium perfringens	D10	NCTC 13170	No	Columbia blood agar, 24-48 hours, 37°C, anaerobic	
Salmonella enterica subsp. enterica serotype Typhimurium		NCTC 13171	No		
Salmonella enterica subsp. enterica serotype Panama		NCTC 13172	No		
Salmonella enterica subsp. enterica serotype Goldcoast		NCTC 13175	No	Nutrient agar, 24 hours, 37°C, aerobic	
Fusobacterium equinum		NCTC 13176	Yes		
Burkholderia pseudomallei		NCTC 13177	No		
Burkholderia pseudomallei		NCTC 13178	No		
Burkholderia pseudomallei		NCTC 13179	No		
Porphyromonas gulae		NCTC 13180	Yes		
Nocardia africana		NCTC 13181	Yes		
Nocardia africana		NCTC 13182	No		
Nocardia africana		NCTC 13183	No		
Nocardia africana		NCTC 13184	No		
Pseudomonas putida		NCTC 13185	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Pseudomonas putida		NCTC 13186	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Serratia fonticola		NCTC 13187	No		
Serratia proteamaculans subsp. quinovora		NCTC 13188	No		
Serratia proteamaculans subsp. quinovora		NCTC 13189	No		
Serratia proteamaculans subsp. quinovora		NCTC 13190	No		
Serratia proteamaculans subsp. quinovora		NCTC 13191	No		
Serratia plymuthica		NCTC 13192	No		
Serratia fonticola		NCTC 13193	No		
Serratia proteamaculans subsp. quinovora		NCTC 13194	No		
Actinobacillus equuli ss. haemolyticus		NCTC 13195	Yes		
Staphylococcus aureus		NCTC 13196	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Neisseria meningitidis		NCTC 13197	No		
Neisseria meningitidis		NCTC 13198	No		
Bordetella hinzii		NCTC 13199	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	
Bordetella hinzii		NCTC 13200	No	CBAR + blood concentration (10%) (Columbia Bartenella), 48 hours, 37°C, requires carbon dioxide	
Bordetella hinzii		NCTC 13201	No		
Bordetella holmesii		NCTC 13202	No		
Bordetella trematum		NCTC 13203	No		
Pasteurella skyensis		NCTC 13204	Yes		
Helicobacter cholecystus		NCTC 13205	No		
Helicobacter pylori		NCTC 13206	No		
Helicobacter pylori		NCTC 13207	No		
Vibrio parahaemolyticus		NCTC 13208	No		
Vibrio parahaemolyticus		NCTC 13209	No		
Vibrio parahaemolyticus		NCTC 13210	No		
Vibrio parahaemolyticus		NCTC 13211	No		
Vibrio parahaemolyticus		NCTC 13212	No		
Neisseria meningitidis		NCTC 13213	No		
Neisseria meningitidis		NCTC 13214	No		
Mycobacterium shottsii	M175	NCTC 13215	Yes	Middlebrook 7H10 agar, 22°C for 20-30 days.	
Escherichia coli		NCTC 13216	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Neisseria meningitidis		NCTC 13217	No		
Neisseria meningitidis		NCTC 13218	No		
Bifidobacterium infantis		NCTC 13219	No		
Helicobacter winghamensis		NCTC 13220	Yes		
Helicobacter canadensis		NCTC 13221	No		
Neisseria meningitidis		NCTC 13222	No		
Neisseria meningitidis		NCTC 13223	No		
Streptomyces coelicolor		NCTC 13224	No		
Neisseria meningitidis		NCTC 13225	No		
Neisseria meningitidis		NCTC 13226	No		
Burkholderia cenocepacia		NCTC 13227	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	
Tsukamurella inchonensis		NCTC 13228	Yes		
Rhodococcus wratislaviensis		NCTC 13229	Yes		
Tsukamurella pulmonis		NCTC 13230	Yes		
Tsukamurella tyrosinosolvens		NCTC 13231	Yes		
Tsukamurella paurometabola		NCTC 13232	Yes	Nutrient agar, 3 days, 37°C, aerobic	
Clostridium symbiosum		NCTC 13233	Yes	CBAR + blood concentration (10%) (Columbia Bartenella), 2-4 days, 37°C, anaerobic	
Clostridium aerotolerans	X8A62	NCTC 13234	Yes		
Clostridium xylanolyticum		NCTC 13235	No		
Helicobacter winghamensis		NCTC 13239	No		
Helicobacter winghamensis		NCTC 13240	No		
Helicobacter canadensis		NCTC 13241	Yes		
Helicobacter canadensis		NCTC 13242	No		
Neisseria meningitidis		NCTC 13247	No		
Neisseria meningitidis		NCTC 13248	No		
Neisseria meningitidis		NCTC 13249	No		
Bordetella pertussis		NCTC 13251	No	CBAR + blood concentration (10%) (Columbia Bartenella), 48-72 hours, 37°C, aerobic	
Bordetella bronchiseptica		NCTC 13252	No		
Bordetella parapertussis		NCTC 13253	No		
Campylobacter jejuni		NCTC 13254	No	Columbia blood agar, 37°C (CO2), microaerophilic	
Campylobacter jejuni		NCTC 13255	No		
Campylobacter jejuni		NCTC 13256	No		
Campylobacter jejuni		NCTC 13257	No		
Campylobacter jejuni		NCTC 13258	No		
Campylobacter jejuni		NCTC 13259	No		
Campylobacter jejuni		NCTC 13260	No		
Campylobacter jejuni		NCTC 13261	No		
Campylobacter jejuni		NCTC 13262	No		
Campylobacter jejuni		NCTC 13263	No		
Campylobacter jejuni		NCTC 13264	No		
Campylobacter jejuni		NCTC 13265	No		
Campylobacter jejuni		NCTC 13266	No		
Campylobacter jejuni		NCTC 13268	No		
Clostridium innocuum		NCTC 13272	Yes		
Neisseria meningitidis		NCTC 13273	No		
Neisseria meningitidis		NCTC 13274	No		
Neisseria meningitidis		NCTC 13275	No		
Streptococcus pneumoniae		NCTC 13276	No	Columbia blood agar, 24-48 hours, 37°C, aerobic, requires carbon dioxide	
Staphylococcus aureus		NCTC 13277	No	Columbia blood agar, 24 hours, 37°C, aerobic	
Chromobacterium violaceum		NCTC 13278	No	Nutrient agar, 24 hours, 37°C, aerobic	
Neisseria meningitidis		NCTC 13279	No		
Neisseria meningitidis		NCTC 13280	No		
Helicobacter pylori		NCTC 13282	No		
Helicobacter pylori		NCTC 13285	No		
Helicobacter pylori		NCTC 13286	No		
Clostridium difficile		NCTC 13287	No		
Roseomonas gilardii subsp. rosea		NCTC 13290	Yes	Columbia blood agar, 48 hours, 37°C, aerobic	
Roseomonas mucosa		NCTC 13291	Yes	Columbia blood agar, 48 hours, 37°C, aerobic	
Legionella feeleii		NCTC 13292	No	Buffered Charcoal Yeast Extract agar (BCYE), 48 hours, 37°C, requires carbon dioxide	
Pseudomonas andersonii		NCTC 13293	No		
Cardiobacterium valvarum		NCTC 13294	Yes	Chocolate blood agar, 48-72 hours, 37°C, aerobic	
Rhodococcus gordoniae		NCTC 13296	Yes	Columbia blood agar, 24-48 hours, 37°C, aerobic	
Staphylococcus aureus		NCTC 13297	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Staphylococcus aureus		NCTC 13298	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Staphylococcus aureus		NCTC 13299	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Staphylococcus aureus		NCTC 13300	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Acinetobacter baumannii		NCTC 13301	No	Nutrient agar, 24 hours, 37°C, aerobic	
Acinetobacter baumannii		NCTC 13302	No		
Acinetobacter baumannii		NCTC 13303	No		
Acinetobacter baumannii		NCTC 13304	No		
Acinetobacter baumannii		NCTC 13305	No	Nutrient agar, 24 hours, 37°C, aerobic	
Bacillus tequilensis		NCTC 13306	Yes		
Clostridium difficile		NCTC 13307	No	Fastidious anaerobe agar, 48 hours, 37°C, anaerobic	
Legionella gresilensis		NCTC 13312	Yes		
Legionella taurinensis		NCTC 13314	Yes	Buffered Charcoal Yeast Extract agar (BCYE), 48 hours, 37°C, requires carbon dioxide	
Legionella beliardensis		NCTC 13315	Yes	Buffered Charcoal Yeast Extract agar (BCYE), 48 hours, 37°C, requires carbon dioxide	
Legionella busanensis		NCTC 13316	Yes	Buffered Charcoal Yeast Extract agar (BCYE), 48 hours, 37°C, requires carbon dioxide	
Bordetella petrii		NCTC 13317	No		
Mycobacterium pseudoshottsii		NCTC 13318	Yes		
Mycobacterium bovis		NCTC 13333	No	Lowenstein-Jensen medium, 37°C, aerobic	
Haemophilus pittmaniae		NCTC 13334	Yes	Chocolate blood agar, 24-48 hours, 37°C, requires carbon dioxide	
Haemophilus pittmaniae		NCTC 13335	No		
Kingella potus		NCTC 13336	Yes	Chocolate blood agar, 24-48 hours, 37°C, requires carbon dioxide	
Suttonella ornithocola		NCTC 13337	Yes	Chocolate blood agar, 24-48 hours, 37°C, aerobic	
Helicobacter pylori		NCTC 13338	No		
Helicobacter pylori		NCTC 13339	No		
Helicobacter pylori		NCTC 13340	No		
Helicobacter pylori		NCTC 13341	No		
Helicobacter pylori		NCTC 13342	No		
Helicobacter pylori		NCTC 13343	No		
Helicobacter pylori		NCTC 13344	No		
Helicobacter pylori		NCTC 13345	No		
Salmonella enterica subsp. enterica serotype Gallinarum		NCTC 13346	No		
Salmonella enterica subsp. enterica serotype Typhimurium		NCTC 13347	No	Nutrient agar, 24 hours, 37°C, aerobic	
Salmonella enterica subsp. enterica serotype Typhimurium		NCTC 13348	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Salmonella enterica subsp. enterica serotype Enteritidis		NCTC 13349	No		
Pannonibacter phragmitetus		NCTC 13350	Yes	Nutrient agar, 48 hours, 30°C, aerobic	
Escherichia coli		NCTC 13351	No	Nutrient agar, 24 hours, 37°C, aerobic	
Escherichia coli		NCTC 13352	No	Nutrient agar, 24 hours, 37°C, aerobic	
Escherichia coli		NCTC 13353	No	Nutrient agar, 24 hours, 37°C, aerobic	
Trueperella bialowiezense		NCTC 13354	Yes		
Trueperella bionasi		NCTC 13355	Yes		
Clostridium sordellii		NCTC 13356	Yes	Fastidious anaerobe agar, 24-48 hours, 37°C, anaerobic	
Campylobacter jejuni		NCTC 13357	No	Columbia Blood agar, 37C, MicroO2, 48 hours	
Aeromonas hydrophila		NCTC 13358	No		
Pseudomonas aeruginosa		NCTC 13359	No	Nutrient agar, 24 hours, 37°C, aerobic	
Staphylococcus epidermidis		NCTC 13360	No	Nutrient agar, 24 hours, 37°C, aerobic	
Lactobacillus delbrueckii ssp. lactis		NCTC 13361	No		
Campylobacter jejuni		NCTC 13362	No	Columbia Blood agar, 37C, MicroO2, 48 hours	
Bordetella petrii		NCTC 13363	No		
Bordetella ansorpii		NCTC 13364	No	Columbia blood agar, 24 hours, 37°C, aerobic	
Clostridium difficile	R20291	NCTC 13366	No		
Campylobacter jejuni		NCTC 13367	No	Columbia blood agar, 48 hours, 37°C, microaerophilic	
Klebsiella pneumoniae		NCTC 13368	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Listeria monocytogenes		NCTC 13372	No		
Staphylococcus aureus		NCTC 13373	No	Columbia blood agar, 24 hours, 37°C, aerobic	
Capnocytophaga genospecies AHN8471		NCTC 13374	No		
Capnocytophaga leadbetteri		NCTC 13375	Yes	Fastidious anaerobe agar, 48 hours, 37°C, requires carbon dioxide	
Proteus mirabilis		NCTC 13376	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Haemophilus influenzae		NCTC 13377	No	Chocolate blood agar, 24 hours, 37°C, requires carbon dioxide	
Pasteurella aerogenes		NCTC 13378	Yes	Columbia blood agar, 24-48 hours, 37°C, aerobic	
Enterococcus faecalis		NCTC 13379	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	
Enterobacter cloacae		NCTC 13380	No		
Haemophilus influenzae		NCTC 13381	No		
Serratia marcescens		NCTC 13382	No		
Enterococcus hirae		NCTC 13383	No	Columbia blood agar, 24-48 hours, 37°C, aerobic	
Escherichia coli		NCTC 13384	No	Nutrient agar, 24 hours, 37°C, aerobic	
Salmonella enterica subsp. enterica serotype Seftenberg		NCTC 13385	No		
Lactobacillus brevis		NCTC 13386	No	MRS, 48 hours, 37°C, requires carbon dioxide	
Burkholderia oklahomensis		NCTC 13387	Yes	Nutrient agar, 24-48 hours, 37°C, aerobic	
Burkholderia oklahomensis		NCTC 13388	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Burkholderia oklahomensis		NCTC 13389	No		
Burkholderia oklahomensis		NCTC 13390	No		
Corynebacterium auriscanis		NCTC 13391	Yes	Columbia blood agar, 48 hours, 37°C, aerobic	
Burkholderia pseudomallei		NCTC 13392	No		
Elizabethkingia meningoseptica		NCTC 13393	No		
Staphylococcus aureus		NCTC 13394	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Staphylococcus aureus		NCTC 13395	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Bartonella melophagi		NCTC 13396	No		
Bartonella washoensis ssp. cynomysius		NCTC 13397	No		
Bartonella tamiae		NCTC 13398	No		
Bartonella washoensis		NCTC 13399	No		
Escherichia coli		NCTC 13400	No	Nutrient agar, 24 hours, 37°C, aerobic	
Clostridium difficile	R10459	NCTC 13404	No	Fastidious anaerobe agar, 24 hours, 37°C, anaerobic	
Enterobacter cloacae		NCTC 13405	No	Nutrient agar, 24 hours, 37°C, aerobic	
Enterobacter cloacae		NCTC 13406	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
pseudomonas aeruginosa	Midalnds 1	NCTC 13414	No		
Pseudomonas aeruginosa		NCTC 13415	No		
Pseudomonas aeruginosa		NCTC 13416	No		
Burkholderia cenocepacia		NCTC 13417	No	Nutreint Agar, 30°C aerobic	
Burkholderia cenocepacia		NCTC 13418	No		
Burkholderia cenocepacia		NCTC 13419	No	Nutrient agar, 30°C aerobic	
Acinetobacter baumannii		NCTC 13420	No	Nutrient agar, 24 hours, 37°C, aerobic	
Acinetobacter baumannii		NCTC 13421	No	Nutrient agar, 24 hours, 37°C, aerobic	
Acinetobacter baumannii		NCTC 13422	No	Nutrient agar, 24 hours, 37°C, aerobic	
Acinetobacter baumannii		NCTC 13423	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Acinetobacter baumannii		NCTC 13424	No	Nutrient agar, 24 hours, 37°C, aerobic	
Staphylococcus aureus		NCTC 13434	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Staphylococcus aureus	03ST-3592	NCTC 13435	No	Nutrient agar, 24-48 hours, 37°C, aerobic	
Pseudomonas aeruginosa		NCTC 13437	No	Nutrient agar, 24 hours, 37°C, aerobic	
